[2026-03-15 21:01:32] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_cec2017_formal_high_woa\cec2017_batch_results.mat
[2026-03-15 21:04:56] DONE: F1 | GWO | run 2 | best=1.001225e+10 | time=1.056s
[2026-03-15 21:04:57] DONE: F1 | GWO | run 3 | best=1.519804e+10 | time=1.082s
[2026-03-15 21:04:59] DONE: F1 | GWO | run 4 | best=1.340010e+10 | time=1.064s
[2026-03-15 21:05:00] DONE: F1 | GWO | run 5 | best=1.316318e+10 | time=1.079s
[2026-03-15 21:05:01] DONE: F1 | GWO | run 6 | best=1.165975e+10 | time=1.090s
[2026-03-15 21:05:03] DONE: F1 | GWO | run 7 | best=1.343147e+10 | time=1.060s
[2026-03-15 21:05:04] DONE: F1 | GWO | run 8 | best=1.346410e+10 | time=1.067s
[2026-03-15 21:05:05] DONE: F1 | GWO | run 9 | best=1.329309e+10 | time=1.072s
[2026-03-15 21:05:06] DONE: F1 | GWO | run 10 | best=1.536906e+10 | time=1.062s
[2026-03-15 21:05:08] DONE: F1 | GWO | run 11 | best=1.201533e+10 | time=1.055s
[2026-03-15 21:05:09] DONE: F1 | GWO | run 12 | best=1.330156e+10 | time=1.062s
[2026-03-15 21:05:10] DONE: F1 | GWO | run 13 | best=1.205353e+10 | time=1.075s
[2026-03-15 21:05:12] DONE: F1 | GWO | run 14 | best=1.020491e+10 | time=1.062s
[2026-03-15 21:05:13] DONE: F1 | GWO | run 15 | best=1.178204e+10 | time=1.057s
[2026-03-15 21:05:14] DONE: F1 | GWO | run 16 | best=1.324007e+10 | time=1.083s
[2026-03-15 21:05:15] DONE: F1 | GWO | run 17 | best=1.324007e+10 | time=1.069s
[2026-03-15 21:05:17] DONE: F1 | GWO | run 18 | best=1.156120e+10 | time=1.060s
[2026-03-15 21:05:18] DONE: F1 | GWO | run 19 | best=1.324007e+10 | time=1.066s
[2026-03-15 21:05:19] DONE: F1 | GWO | run 20 | best=1.593496e+10 | time=1.083s
[2026-03-15 21:05:21] DONE: F1 | GWO | run 21 | best=1.156120e+10 | time=1.063s
[2026-03-15 21:05:22] DONE: F1 | GWO | run 22 | best=1.329309e+10 | time=1.064s
[2026-03-15 21:05:23] DONE: F1 | GWO | run 23 | best=1.191971e+10 | time=1.073s
[2026-03-15 21:05:25] DONE: F1 | GWO | run 24 | best=1.316317e+10 | time=1.063s
[2026-03-15 21:05:26] DONE: F1 | GWO | run 25 | best=1.178204e+10 | time=1.068s
[2026-03-15 21:05:27] DONE: F1 | GWO | run 26 | best=1.340010e+10 | time=1.067s
[2026-03-15 21:05:28] DONE: F1 | GWO | run 27 | best=1.316317e+10 | time=1.075s
[2026-03-15 21:05:30] DONE: F1 | GWO | run 28 | best=1.222621e+10 | time=1.059s
[2026-03-15 21:05:31] DONE: F1 | GWO | run 29 | best=1.161422e+10 | time=1.067s
[2026-03-15 21:05:32] DONE: F1 | GWO | run 30 | best=1.674700e+10 | time=1.067s
[2026-03-15 21:05:32] Block finished: F1 | GWO | done=30 | failed=0
[2026-03-15 21:05:32] Entering block: F1 | HHO
[2026-03-15 21:05:33] DONE: F1 | HHO | run 1 | best=8.312919e+06 | time=0.904s
[2026-03-15 21:05:35] DONE: F1 | HHO | run 2 | best=5.838844e+06 | time=0.898s
[2026-03-15 21:05:36] DONE: F1 | HHO | run 3 | best=1.465973e+07 | time=0.899s
[2026-03-15 21:05:37] DONE: F1 | HHO | run 4 | best=1.319758e+07 | time=0.898s
[2026-03-15 21:05:38] DONE: F1 | HHO | run 5 | best=1.386154e+07 | time=0.899s
[2026-03-15 21:05:39] DONE: F1 | HHO | run 6 | best=1.388061e+07 | time=0.896s
[2026-03-15 21:05:40] DONE: F1 | HHO | run 7 | best=1.489673e+07 | time=0.904s
[2026-03-15 21:05:41] DONE: F1 | HHO | run 8 | best=1.822643e+07 | time=0.894s
[2026-03-15 21:05:43] DONE: F1 | HHO | run 9 | best=1.159359e+07 | time=0.897s
[2026-03-15 21:05:44] DONE: F1 | HHO | run 10 | best=1.575187e+07 | time=0.894s
[2026-03-15 21:05:45] DONE: F1 | HHO | run 11 | best=2.912858e+07 | time=0.894s
[2026-03-15 21:05:46] DONE: F1 | HHO | run 12 | best=1.641447e+07 | time=0.908s
[2026-03-15 21:05:47] DONE: F1 | HHO | run 13 | best=9.985826e+06 | time=0.899s
[2026-03-15 21:05:48] DONE: F1 | HHO | run 14 | best=1.597057e+07 | time=0.896s
[2026-03-15 21:05:50] DONE: F1 | HHO | run 15 | best=1.601131e+07 | time=0.903s
[2026-03-15 21:05:51] DONE: F1 | HHO | run 16 | best=6.571452e+06 | time=0.905s
[2026-03-15 21:05:52] DONE: F1 | HHO | run 17 | best=9.999894e+06 | time=0.902s
[2026-03-15 21:05:53] DONE: F1 | HHO | run 18 | best=8.964438e+06 | time=0.895s
[2026-03-15 21:05:54] DONE: F1 | HHO | run 19 | best=1.357837e+07 | time=0.895s
[2026-03-15 21:05:55] DONE: F1 | HHO | run 20 | best=1.368367e+07 | time=0.904s
[2026-03-15 21:05:57] DONE: F1 | HHO | run 21 | best=6.281903e+06 | time=0.892s
[2026-03-15 21:05:58] DONE: F1 | HHO | run 22 | best=8.367771e+06 | time=0.900s
[2026-03-15 21:05:59] DONE: F1 | HHO | run 23 | best=1.071918e+07 | time=0.903s
[2026-03-15 21:06:00] DONE: F1 | HHO | run 24 | best=1.593908e+07 | time=0.901s
[2026-03-15 21:06:01] DONE: F1 | HHO | run 25 | best=8.656633e+06 | time=0.893s
[2026-03-15 21:06:02] DONE: F1 | HHO | run 26 | best=2.240748e+07 | time=0.895s
[2026-03-15 21:06:03] DONE: F1 | HHO | run 27 | best=2.160230e+07 | time=0.898s
[2026-03-15 21:06:05] DONE: F1 | HHO | run 28 | best=1.577921e+07 | time=0.900s
[2026-03-15 21:06:06] DONE: F1 | HHO | run 29 | best=1.092638e+07 | time=0.894s
[2026-03-15 21:06:07] DONE: F1 | HHO | run 30 | best=7.595857e+06 | time=0.892s
[2026-03-15 21:06:07] Block finished: F1 | HHO | done=30 | failed=0
[2026-03-15 21:06:07] Entering block: F1 | WOA
[2026-03-15 21:06:08] DONE: F1 | WOA | run 1 | best=1.407574e+10 | time=0.554s
[2026-03-15 21:06:09] DONE: F1 | WOA | run 2 | best=2.471993e+10 | time=0.547s
[2026-03-15 21:06:09] DONE: F1 | WOA | run 3 | best=2.334960e+10 | time=0.547s
[2026-03-15 21:06:10] DONE: F1 | WOA | run 4 | best=1.390953e+10 | time=0.554s
[2026-03-15 21:06:11] DONE: F1 | WOA | run 5 | best=1.948557e+10 | time=0.555s
[2026-03-15 21:06:12] DONE: F1 | WOA | run 6 | best=2.317244e+10 | time=0.552s
[2026-03-15 21:06:13] DONE: F1 | WOA | run 7 | best=1.997801e+10 | time=0.551s
[2026-03-15 21:06:14] DONE: F1 | WOA | run 8 | best=1.219892e+10 | time=0.551s
[2026-03-15 21:06:14] DONE: F1 | WOA | run 9 | best=1.254846e+10 | time=0.549s
[2026-03-15 21:06:15] DONE: F1 | WOA | run 10 | best=2.574946e+10 | time=0.550s
[2026-03-15 21:06:16] DONE: F1 | WOA | run 11 | best=2.784314e+10 | time=0.559s
[2026-03-15 21:06:17] DONE: F1 | WOA | run 12 | best=3.975242e+10 | time=0.556s
[2026-03-15 21:06:18] DONE: F1 | WOA | run 13 | best=2.709212e+10 | time=0.550s
[2026-03-15 21:06:19] DONE: F1 | WOA | run 14 | best=1.449688e+10 | time=0.553s
[2026-03-15 21:06:19] DONE: F1 | WOA | run 15 | best=1.059356e+10 | time=0.550s
[2026-03-15 21:06:20] DONE: F1 | WOA | run 16 | best=1.903620e+10 | time=0.556s
[2026-03-15 21:06:21] DONE: F1 | WOA | run 17 | best=2.589788e+10 | time=0.554s
[2026-03-15 21:06:22] DONE: F1 | WOA | run 18 | best=2.748114e+10 | time=0.557s
[2026-03-15 21:06:23] DONE: F1 | WOA | run 19 | best=3.419540e+10 | time=0.556s
[2026-03-15 21:06:24] DONE: F1 | WOA | run 20 | best=1.764053e+10 | time=0.551s
[2026-03-15 21:06:24] DONE: F1 | WOA | run 21 | best=2.424814e+10 | time=0.552s
[2026-03-15 21:06:25] DONE: F1 | WOA | run 22 | best=3.497058e+10 | time=0.556s
[2026-03-15 21:06:26] DONE: F1 | WOA | run 23 | best=2.342224e+10 | time=0.552s
[2026-03-15 21:06:27] DONE: F1 | WOA | run 24 | best=1.929988e+10 | time=0.552s
[2026-03-15 21:06:28] DONE: F1 | WOA | run 25 | best=1.021821e+10 | time=0.548s
[2026-03-15 21:06:29] DONE: F1 | WOA | run 26 | best=2.088782e+10 | time=0.555s
[2026-03-15 21:06:29] DONE: F1 | WOA | run 27 | best=1.219558e+10 | time=0.561s
[2026-03-15 21:06:30] DONE: F1 | WOA | run 28 | best=2.899814e+10 | time=0.556s
[2026-03-15 21:06:31] DONE: F1 | WOA | run 29 | best=3.345818e+10 | time=0.550s
[2026-03-15 21:06:32] DONE: F1 | WOA | run 30 | best=2.212434e+10 | time=0.555s
[2026-03-15 21:06:32] Block finished: F1 | WOA | done=30 | failed=0
[2026-03-15 21:06:32] Entering block: F1 | FAEAE
[2026-03-15 21:06:39] DONE: F1 | FAEAE | run 1 | best=8.825399e+07 | time=6.597s
[2026-03-15 21:06:46] DONE: F1 | FAEAE | run 2 | best=1.017429e+08 | time=6.575s
[2026-03-15 21:06:53] DONE: F1 | FAEAE | run 3 | best=9.604150e+07 | time=6.544s
[2026-03-15 21:06:59] DONE: F1 | FAEAE | run 4 | best=9.107389e+07 | time=6.637s
[2026-03-15 21:07:06] DONE: F1 | FAEAE | run 5 | best=7.431961e+07 | time=6.547s
[2026-03-15 21:07:13] DONE: F1 | FAEAE | run 6 | best=1.071419e+08 | time=6.704s
[2026-03-15 21:07:20] DONE: F1 | FAEAE | run 7 | best=1.065230e+08 | time=6.677s
[2026-03-15 21:07:27] DONE: F1 | FAEAE | run 8 | best=1.004357e+08 | time=6.702s
[2026-03-15 21:07:34] DONE: F1 | FAEAE | run 9 | best=9.212539e+07 | time=6.526s
[2026-03-15 21:07:41] DONE: F1 | FAEAE | run 10 | best=9.731937e+07 | time=6.661s
[2026-03-15 21:07:48] DONE: F1 | FAEAE | run 11 | best=1.027366e+08 | time=7.181s
[2026-03-15 21:07:56] DONE: F1 | FAEAE | run 12 | best=8.303529e+07 | time=6.746s
[2026-03-15 21:08:03] DONE: F1 | FAEAE | run 13 | best=8.924244e+07 | time=6.884s
[2026-03-15 21:08:10] DONE: F1 | FAEAE | run 14 | best=9.182296e+07 | time=6.779s
[2026-03-15 21:08:17] DONE: F1 | FAEAE | run 15 | best=7.590912e+07 | time=6.763s
[2026-03-15 21:08:24] DONE: F1 | FAEAE | run 16 | best=1.014716e+08 | time=6.743s
[2026-03-15 21:08:31] DONE: F1 | FAEAE | run 17 | best=9.220532e+07 | time=6.759s
[2026-03-15 21:08:38] DONE: F1 | FAEAE | run 18 | best=8.049350e+07 | time=6.758s
[2026-03-15 21:08:45] DONE: F1 | FAEAE | run 19 | best=8.705677e+07 | time=6.730s
[2026-03-15 21:08:52] DONE: F1 | FAEAE | run 20 | best=1.003405e+08 | time=6.693s
[2026-03-15 21:08:59] DONE: F1 | FAEAE | run 21 | best=1.044714e+08 | time=6.834s
[2026-03-15 21:09:07] DONE: F1 | FAEAE | run 22 | best=8.555247e+07 | time=7.066s
[2026-03-15 21:09:14] DONE: F1 | FAEAE | run 23 | best=1.097092e+08 | time=7.060s
[2026-03-15 21:09:21] DONE: F1 | FAEAE | run 24 | best=9.259483e+07 | time=6.793s
[2026-03-15 21:09:28] DONE: F1 | FAEAE | run 25 | best=1.085237e+08 | time=6.858s
