FuncId,AE_Mean,AE_Std,AE_Best,AE_Median,AE_Rank,PSO_Mean,PSO_Std,PSO_Best,PSO_Median,PSO_Rank,GWO_Mean,GWO_Std,GWO_Best,GWO_Median,GWO_Rank,HHO_Mean,HHO_Std,HHO_Best,HHO_Median,HHO_Rank,WOA_Mean,WOA_Std,WOA_Best,WOA_Median,WOA_Rank,FAEAE_Mean,FAEAE_Std,FAEAE_Best,FAEAE_Median,FAEAE_Rank,BestAlgByMean
1,7950739.64665444,744887.863929757,6420017.19144225,7898421.88754451,1,877666857.51966,1516982109.64735,212.607447248215,120931165.918595,4,12817904931.0548,1585822892.30593,10012247692.9904,13163175009.5419,5,13293474.0294266,5201620.1000425,5838844.49230671,13631020.0517078,2,22101335182.3435,7725531809.27017,10218214999.2001,22648390025.332,6,92927195.7655558,10514780.4256178,69871648.3286633,92400076.4508303,3,AE
3,316.551220539805,2.04010004911269,310.918256993057,316.306053001835,2,300.000000000001,3.91104430605089e-12,300,300.000000000001,1,91368.7418783145,3458.69850034557,83863.0518491856,92431.7292488748,5,7827.99729227346,2679.58245642042,3897.99521122505,7838.13930259423,4,97284.8034069962,20216.466413392,80778.5445589673,93530.8620237066,6,536.43111177941,36.6586342730102,471.180464498374,531.979967629215,3,PSO
4,485.977114484675,29.4233274705967,401.686134964764,479.663741162742,1,750.084488392069,491.435810385725,460.04735726018,576.077114687311,4,1181.81216008408,203.302595194219,866.346044113224,1171.25648684988,5,511.657210088699,26.2814134814225,472.826921115777,510.996352087724,3,4976.89393350389,2381.97955466166,1345.81404875672,4495.41237045332,6,505.44113181232,23.999626518608,418.12722610136,519.695711746154,2,AE
5,675.112936894835,26.3851929815951,630.795776913436,676.64389937047,4,624.417558485328,33.5089642887084,559.697462775054,622.316546352993,2,831.487023556035,24.5169761091747,788.865272234969,831.441841436098,5,659.556782237749,32.5000429807753,574.87609252014,652.806176621389,3,867.012994054242,41.2684338027892,798.193468557111,867.372785513954,6,611.177700594835,13.6325456975212,584.849915873542,609.67398577137,1,FAEAE
6,651.233389915581,6.95747699183123,630.178517458325,652.598373210534,4,621.266141052742,10.2859910720815,605.378457167524,621.236808605142,2,651.355081475938,7.81307156365712,637.776276904992,651.531147304385,5,631.462701775383,8.40009346055507,619.031215308949,630.853239909577,3,678.735938904482,10.3244024718359,654.820644774201,680.539588724723,6,604.464988267201,0.77991679965832,603.459875229515,604.44382802759,1,FAEAE
7,894.018052703661,23.6806891878144,846.71727254971,895.599557877119,2,844.398910994144,37.8009570225499,797.980641941221,834.596403881288,1,1085.03816116897,28.1795521143539,1022.41935716512,1090.32889205103,5,909.8146256092,36.0440640179599,812.812085104073,913.09417701047,4,1364.43487620433,67.0721282009971,1172.92029073555,1375.42407157529,6,894.285214410377,10.9693386767177,870.835810281644,895.648206400291,3,PSO
8,929.254701415634,17.7280814207542,902.801104282766,925.797194546979,3,914.205678361269,25.4194692542833,870.641982130728,911.435020465352,2,1031.89337056961,22.5536060617454,990.844720992347,1033.00303133291,5,940.13939222079,22.1008009069915,881.237427836653,941.720465294825,4,1081.5034646451,40.0109902420887,1004.76068251697,1079.27071020434,6,903.040003051749,11.5732205687567,882.763928604132,901.956853966944,1,FAEAE
9,6530.2856212041,1316.67928204235,3641.30628360268,6917.98807903515,5,2733.19096579094,1142.77525529975,1050.89886928815,2508.0381140854,3,6478.24244690051,2231.03362539703,3403.49261291203,6357.48166616224,4,2502.6677576732,790.490753666105,1200.62619488811,2417.41093367886,2,8477.19183237739,1605.54694147193,4714.11490592768,8524.37481819209,6,927.464857690431,4.52634719044726,917.241734143864,927.442246047508,1,FAEAE
10,4227.58421416223,657.384857222048,2837.00966753975,4138.37494528121,1,4797.27734138828,546.187875681574,3799.05013401797,4642.56597392447,4,7214.47876891454,439.210553822144,6337.96431785797,7165.05501751489,5,4692.42797414711,472.57642577897,3427.35699997139,4711.15702603908,3,7810.06809107555,673.272310411656,6139.17496004895,7929.1554068132,6,4527.83785196024,374.685764658203,3507.11470939205,4486.45226346291,2,AE
11,1227.07432302581,39.7556662272044,1159.47598839298,1234.36395460361,1,1259.15768547458,81.0270000095104,1140.37874840382,1239.39994440326,3,10655.4676280852,234.25361529511,10373.3889209221,10843.5200964943,6,1273.79378299986,44.5804003503223,1182.89835683532,1276.53424379471,4,6503.55902044417,1936.23644354103,2915.82068488771,6691.47634226093,5,1238.20442091947,31.5326360722412,1179.20711382155,1241.52224623282,2,AE
