algName,runFile,feasible,bestFit,score,meanZ,maxZ,minZ,stdZ,pathLen,detourRatio,turnPenalty,lowAltFrac,highAltFrac
AE,scene1_AE_run025.mat,1,283.623863990965,1.81972070577903,10.9369357882331,18,8.6062833304436,2.51842624815679,134.818973131472,1.05806291731323,0.00676973169024006,1,0
PSO,scene1_PSO_run029.mat,1,281.545169947773,1.1949224389851,8.93355819871954,18,8,1.80904847276061,134.493098203511,1.05550544213782,0.00636025249547091,1,0
GWO,scene1_GWO_run026.mat,1,312.768908799031,1.73155181217649,10.9837438528759,18,9.7608764318711,1.39665076924325,159.808292057654,1.25417976252109,0.0107611670654231,1,0
HHO,scene1_HHO_run002.mat,1,280.761525955369,1.10604665847063,8.91584040090945,18,8,1.8854164933628,134.50046024735,1.05556321965534,0.00621192088295427,1,0
WOA,scene1_WOA_run017.mat,1,285.76737841412,1.43844713329025,8.82222001151158,18,8.09726015158216,1.72479138216963,136.040667375459,1.0676508065089,0.00788776089472132,1,0
FAEAE,scene1_FAEAE_run030.mat,1,292.85082426231,1.21661232654624,9.59992577120681,18,8.06957091295958,2.02911840184727,134.289213917176,1.05390535278998,0.00703356055039752,1,0
