SceneId,Base_AE_Mean,Base_AE_Std,Base_AE_Best,Base_AE_Median,Base_AE_FeasRatio,Base_AE_AvgTime,Base_AE_Rank,AE_Init_Mean,AE_Init_Std,AE_Init_Best,AE_Init_Median,AE_Init_FeasRatio,AE_Init_AvgTime,AE_Init_Rank,AE_Init_AOS_Mean,AE_Init_AOS_Std,AE_Init_AOS_Best,AE_Init_AOS_Median,AE_Init_AOS_FeasRatio,AE_Init_AOS_AvgTime,AE_Init_AOS_Rank,AE_Init_AOS_Repair_Mean,AE_Init_AOS_Repair_Std,AE_Init_AOS_Repair_Best,AE_Init_AOS_Repair_Median,AE_Init_AOS_Repair_FeasRatio,AE_Init_AOS_Repair_AvgTime,AE_Init_AOS_Repair_Rank,FAE_AE_Mean,FAE_AE_Std,FAE_AE_Best,FAE_AE_Median,FAE_AE_FeasRatio,FAE_AE_AvgTime,FAE_AE_Rank,BestMethodByMean
1,2360.48509370906,4377.76579370669,544.665962485616,1200.99265330381,0.55,4.489489965,5,703.551000426782,8.05828501852863,685.51435924628,704.612392720763,1,4.45521665,2,756.149837962392,9.93239704337258,733.556600188323,756.293010174979,1,4.542102895,4,725.417536162903,20.512643449771,677.865761297734,727.380983331979,1,38.57921586,3,683.120288678644,27.1156079056561,634.636750541684,678.619977094677,1,42.77095566,1,FAE-AE
2,3201.36285648711,2170.13918474671,1068.64119607194,2213.59531348324,0,4.39247464,5,2846.50412851175,1262.21089182298,1972.6809245459,2513.77033321766,0.05,4.33259649,4,2448.45838865187,1328.67330476191,1339.89662261905,2154.50391208838,0.15,4.41016787,3,1100.98012226134,145.299373962859,899.166747597734,1068.69881937037,1,46.869579325,2,871.561462602837,182.000310398844,671.906777157574,796.535419554655,1,47.19378825,1,FAE-AE
4,2669.03448016193,1455.18486908918,1671.11819283774,2169.76995702653,0,7.73757876,3,13445.6062786384,19249.8293355065,1611.59417614233,1983.49481418593,0.25,7.74096192,4,16682.9602018865,20801.4901407857,2049.66525358903,2904.40822700741,0.3,7.796372385,5,1657.20525595242,340.504133055208,1285.60592501961,1566.3738489766,1,95.60650144,2,1384.93199209032,138.874185852059,1238.4928982285,1344.61828396602,1,96.14443414,1,FAE-AE
