Method,Best,Mean,Std,Worst,Median,FeasRatio,AvgTime
Base-AE,1671.11819283774,2669.03448016193,1455.18486908918,7214.54400460619,2169.76995702653,0,7.73757876
AE+Init,1611.59417614233,13445.6062786384,19249.8293355065,61800.3916249275,1983.49481418593,0.25,7.74096192
AE+Init+AOS,2049.66525358903,16682.9602018865,20801.4901407857,61800.3916249275,2904.40822700741,0.3,7.796372385
AE+Init+AOS+Repair,1285.60592501961,1657.20525595242,340.504133055208,2617.06879712071,1566.3738489766,1,95.60650144
FAE-AE,1238.4928982285,1384.93199209032,138.874185852059,1773.99454089093,1344.61828396602,1,96.14443414
