Method,Best,Mean,Std,Worst,Median,FeasRatio,AvgTime
Base-AE,1192.44688445065,4357.9393946942,5841.02511393379,22111.2772130233,2310.07048361062,0.1,4.44687283
AE+Init,776.039531788537,797.863264431586,11.9371980374903,821.256479826491,797.070185275728,1,4.465950115
AE+Init+AOS,751.737649826891,797.497904954708,27.1493294116144,871.572525822068,801.941207038878,1,4.617445755
AE+Init+AOS+Repair,1142.3833506167,1287.49799503582,71.40289416005,1420.32807264193,1287.90552307331,1,39.34839693
FAE-AE,695.764107397078,862.780302457686,100.816667305564,1034.43967967475,854.930841333038,1,42.728709515
