Method,Best,Mean,Std,Worst,Median,FeasRatio,AvgTime
Base-AE,544.665962485616,2360.48509370906,4377.76579370669,20514.5328331371,1200.99265330381,0.55,4.489489965
AE+Init,685.51435924628,703.551000426782,8.05828501852863,720.557547911386,704.612392720763,1,4.45521665
AE+Init+AOS,733.556600188323,756.149837962392,9.93239704337258,767.161561836251,756.293010174979,1,4.542102895
AE+Init+AOS+Repair,677.865761297734,725.417536162903,20.512643449771,757.306338204882,727.380983331979,1,38.57921586
FAE-AE,634.636750541684,683.120288678644,27.1156079056561,751.455165310626,678.619977094677,1,42.77095566
