Method,Best,Mean,Std,Worst,Median,FeasRatio,AvgTime
Base-AE,1068.64119607194,3201.36285648711,2170.13918474671,9358.58905104492,2213.59531348324,0,4.39247464
AE+Init,1972.6809245459,2846.50412851175,1262.21089182298,7645.28578091973,2513.77033321766,0.05,4.33259649
AE+Init+AOS,1339.89662261905,2448.45838865187,1328.67330476191,6935.03585008378,2154.50391208838,0.15,4.41016787
AE+Init+AOS+Repair,899.166747597734,1100.98012226134,145.299373962859,1438.55844714312,1068.69881937037,1,46.869579325
FAE-AE,671.906777157574,871.561462602837,182.000310398844,1264.12092800659,796.535419554655,1,47.19378825
