FuncId,Algorithm,Mean,Std,Best,Median,AvgRuntime,Rank
1,AE,9532852.38167173,928724.587034917,8506448.685189,9776979.9883958,0.598328133333333,1
1,PSO,736951353.565941,643041158.93593,2389.51103231285,1026802681.43725,0.0762225333333333,4
1,GWO,5559386315.74235,1780793614.5881,3745079492.02875,5628420428.31804,0.124857133333333,5
1,HHO,102829075.836554,12375893.0237482,88591497.1490931,108884266.113898,0.1138468,2
1,WOA,25435324271.0923,13194108523.1342,14846318784.2351,21243562111.0025,0.0727689333333333,6
1,FAEAE,108085368.965342,16824261.676696,90457271.4367369,109828815.626046,0.809450833333333,3
3,AE,33123.8794006953,4465.39983278626,28290.5949358305,33985.1063741312,0.597348733333333,2
3,PSO,37817.6482002088,2871.4865708648,35175.3274467054,37404.1498487488,0.0961582333333333,3
3,GWO,88941.458245626,5088.66648057367,83188.3607220857,90783.1503922123,0.132098666666667,5
3,HHO,51882.0138569812,12614.9732735762,42763.409939548,46603.8442075673,0.1148002,4
3,WOA,281915.704116677,71368.3107275189,207603.873383582,288221.179682121,0.0782379,6
3,FAEAE,15965.2519864677,1706.74694260023,14009.0568983718,16736.0798775093,0.761849033333333,1
