algName,runFile,feasible,bestFit,score,meanZ,maxZ,minZ,stdZ,pathLen,detourRatio,turnPenalty,lowAltFrac,highAltFrac
AE,scene2_AE_run023.mat,1,332.130992673799,1.2,32.1493867199559,36.2191288812835,12,4.45767410458515,150.267474540014,1.17930317073439,0.020565970546366,0.777272727272727,0
PSO,scene2_PSO_run001.mat,1,316.05224117357,0.877310465625339,21.4956983111906,29.7824303466042,12,4.10461468586427,152.997276990096,1.20072673358267,0.0189411924443711,1,0
GWO,scene2_GWO_run019.mat,1,313.632636312045,2.27151954785548,12.2556552370242,18,11.3441791410356,1.36758869917381,164.261615289794,1.28912956269603,0.0145543779243719,1,0
HHO,scene2_HHO_run008.mat,1,315.70988990196,2.40388416641587,13.3123267131513,18,12,1.53314344945888,164.02295009262,1.28725651182702,0.0124165417096003,1,0
WOA,scene2_WOA_run005.mat,1,562.701632185119,-1,22.7226665989486,23.8976648160022,12,2.17696120889105,195.585928807671,1.53496361537969,0.0381196656637455,1,0
FAEAE,scene2_FAEAE_run030.mat,1,306.14087029964,-1,18.8974504235493,22.4710722025226,12,2.7703513436789,149.115237152633,1.17026038081237,0.0173769033190654,1,0
