algorithm,sceneId,runFile,bestFit,feasible,meanZ,maxZ,minZ,stdZ,pathLen,detourRatio,turnPenalty,lowAltFrac,highAltFrac,costNorm,meanZNorm,maxZNorm,stdZNorm,detourNorm,turnNorm,lowFracNorm,highFracNorm,repScore,inCostGate,manualSelected,isSelected
AE,1,scene1_AE_run001.mat,1122.12531912126,0,25.0055553682285,28.8293864741115,12,3.60100299411162,170.594192215721,1.33882779626604,0.0491755025361771,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,1,scene1_AE_run002.mat,444.214332760962,1,21.9674197188224,26.0751313430629,12,2.54515451297793,161.758466570712,1.26948478440805,0.0290177521281469,1,0,0.543981573381205,0.303622307225283,0.202732322670863,0.105095610819688,0.587162498148726,0.602045251156782,1,0,2.09684351438985,0,0,0
AE,1,scene1_AE_run003.mat,501.644039521632,1,23.5614271300396,25.1920129707895,12,2.05600869928917,169.721635025518,1.3319799440332,0.0280337652602065,1,0,0.807273191159831,0.438431041380031,0.115914353894636,0,0.806454272011183,0.566820685607906,1,0,2.33576357599032,0,0,0
AE,1,scene1_AE_run004.mat,358.263218305156,1,26.3696409483373,31.2091297813365,12,3.38978665789727,143.171439868019,1.12361330029542,0.0193946801646327,1,0,0.149931015727255,0.675927898305886,0.707447579543847,0.286569373252263,0.0753081929692047,0.25756044124277,1,0,2.12210052471267,1,0,0
AE,1,scene1_AE_run005.mat,351.008455404406,1,23.1075560244054,27.5475912663962,12,2.91394174237018,149.279480820207,1.17154936952091,0.0183054454792449,1,0,0.116670907527518,0.400046157602586,0.347487526120096,0.184331531992554,0.243512990196795,0.218568235326588,1,0,1.75526344231601,1,0,0
AE,1,scene1_AE_run006.mat,338.300206617052,1,26.196624837265,30.6775891845064,12,4.09613017558031,140.436764435019,1.10215149414649,0.0143662636189306,1,0,0.0584088064114613,0.66129554292416,0.655192665154408,0.438331079806826,0,0.0775541891350905,1,0,1.97029559119837,1,0,0
AE,1,scene1_AE_run007.mat,1419.12316853756,0,23.1143020423013,27.1452412616468,12,2.70893383911269,165.801212381464,1.30121236196725,0.0425101598027826,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,1,scene1_AE_run008.mat,380.279439418061,1,20.6875331412197,24.0129241602876,12,2.12483145459097,146.324373908579,1.1483576112152,0.0286423283726973,1,0,0.250866346954792,0.195379467089095,0,0.0147869394040012,0.162134498672737,0.588605906473129,1,0,1.525194210809,0,0,0
AE,1,scene1_AE_run009.mat,464.009192106722,1,24.5737026229378,28.4273538167057,12,3.83108403002183,168.104661831758,1.31928989503736,0.0344873513195756,1,0,0.634732873271436,0.524041419884663,0.433975589352935,0.381384488865345,0.761925649772425,0.79784487158039,1,0,2.66915396658951,0,0,0
AE,1,scene1_AE_run010.mat,371.537447723746,1,25.9610075323839,29.7376322044839,12,3.31775146980854,147.608766961079,1.15843756234181,0.0158455401401139,1,0,0.210787905576092,0.641368866051482,0.562786982853273,0.271092225373586,0.197504443741435,0.13050903485818,1,0,2.05347876668281,0,0,0
AE,1,scene1_AE_run011.mat,393.460345708544,1,20.6822133717716,24.2630261680093,12,3.01601872254477,147.516546314658,1.15771381223511,0.0318084819437303,1,0,0.311295388591245,0.194929562414723,0.0245871323471189,0.20626332059599,0.194964847944216,0.701947240218862,1,0,1.67381364264432,0,0,0
AE,1,scene1_AE_run012.mat,404.547795243838,1,24.5100062904466,27.2528979159364,12,2.99703085234114,160.465399371386,1.25933675834449,0.0306408953995915,1,0,0.362126790836637,0.518654480091899,0.318516689477986,0.202183674483583,0.551553682201547,0.660150210097836,1,0,2.27698628348735,0,0,0
AE,1,scene1_AE_run013.mat,813.863809396642,0,20.7664154744249,22.357020336806,12,1.58859192893484,137.724716415011,1.08086726854164,0.0337530880177347,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,1,scene1_AE_run014.mat,358.821913607982,1,24.0519512484706,27.4601267811744,12,2.93222139650106,144.018634188986,1.1302621040502,0.0207707075792431,1,0,0.152492404221527,0.479915751559366,0.33888903107637,0.18825901406987,0.0986384473152288,0.306819196051605,1,0,1.78136632041162,1,0,0
AE,1,scene1_AE_run015.mat,416.895251305125,1,30.2015390453564,33.5268247992552,12,4.31549127441903,154.564506621365,1.21302639376582,0.0401344895752825,1,0,0.418734805489655,1,0.935296506727283,0.485461992568153,0.389053385257148,1,1,0,3.11725186092934,0,0,0
AE,1,scene1_AE_run016.mat,356.375668025479,1,23.0401656219759,28.031219736234,12,2.52769272566394,150.134451608909,1.17825920320307,0.0251069758528225,1,0,0.141277372955827,0.394346802140512,0.39503227517291,0.101343851830017,0.267057394904415,0.46204806242856,1,0,1.87657555725917,1,0,0
