SceneId,Algorithm,Mean,Std,Best,Median,FeasRatio,AvgRuntime,AvgViolation,AvgLength,AvgEnergy,AvgRisk,AvgSmoothness,Rank
1,AE,291.38278501979,3.42809150920241,283.623863990965,291.821670621254,1,6.80629238,0,134.964655868041,177.330251307577,41.6690464233637,0.114151061103663,2
1,PSO,285.458327386538,10.4707987385035,278.877300480656,282.342803673005,1,6.88825621,7.01660951563099e-15,137.250530517646,178.342619644254,34.2953176793729,0.318959113949445,1
1,GWO,332.564104451501,21.0008316447621,308.090158024964,328.098989239139,1,6.83458212666667,0,158.763916577861,245.948608003765,21.8048741336566,0.434494073292001,5
1,HHO,310.978433286096,67.6981891974278,280.761525955369,290.888077284954,0.966666666666667,8.81381996333333,0.0666666666666716,139.420223040324,197.637724515921,35.7620954885051,0.407073000085511,4
1,WOA,334.59453898854,122.553445580149,285.76737841412,297.191499932117,0.966666666666667,6.54542205666666,0.117378026447645,140.475424438943,218.739401632212,39.5699751827047,0.292952147141807,6
1,FAEAE,305.89667169431,10.6439980780211,292.85082426231,302.059014110461,1,68.7244624233333,1.27305573490351e-15,143.392265143915,206.729338640236,32.0390960764609,0.132587163334177,3
2,AE,1299.2322616049,1204.02157995194,307.417014494673,1080.79727201408,0.466666666666667,6.79747579,6.1,152.412328352399,293.945344481148,35.0692691948708,0.241801310884809,6
2,PSO,664.408010585454,473.539789473923,299.241853539258,363.31855531589,0.633333333333333,6.66163594333333,1.86666666666667,165.405386548812,288.02287135889,28.6843657004316,0.673304760820897,4
2,GWO,332.581854460489,21.9406728765624,296.511207696687,326.338044796872,1,7.42031999333333,0,165.64820353092,240.606067223679,18.6779911971891,1.04280772489852,2
2,HHO,394.017785806664,229.355469134754,300.012722907471,337.656763598362,0.966666666666667,8.48003768,0.233333333333333,161.802056507413,270.17018168029,26.3704063525172,0.90532889815198,3
2,WOA,779.663470324911,651.770717430093,351.939948713877,425.671971127032,0.766666666666667,6.56736875333334,1.86666666666667,163.132410741723,428.849557167899,36.7131577922319,1.10357287846399,5
2,FAEAE,310.177815541407,3.43873053628435,303.24452697524,310.605128590076,1,92.3314051,0,151.04282854511,231.156478720415,17.0211488688243,0.10480747639673,1
4,AE,2153.8245715348,630.071385679408,1225.01108486426,2098.35760334342,0,6.93716822333333,11.8,139.053164533332,281.777975008471,63.0017840474565,0.683207596264733,6
4,PSO,1129.46847434805,445.546879687293,313.864993525323,1109.3013803242,0.166666666666667,6.69921316333333,4.46666666666667,172.724921651401,368.673492764821,47.5042537427143,1.34012808779652,4
4,GWO,526.506494554821,250.003610631904,340.453708983969,374.312838550644,0.7,7.08931031,0.833333333333333,170.379306766232,340.072213639515,22.4030909302558,1.33433659048576,2
4,HHO,925.737357935964,409.729503142306,376.787617058013,915.485531406576,0.166666666666667,8.57509017333333,3.33333333333333,158.311036820632,362.934022465449,41.1613001869871,1.81564941118735,3
4,WOA,1486.20900200556,453.84265545406,445.252035427221,1593.23245085122,0.133333333333333,6.64641987333333,6.27066454306037,169.349554375358,539.893019660977,51.8280976632454,2.11085184341411,5
4,FAEAE,316.300800118549,7.16309194469832,312.711278405877,314.983735559589,1,96.7678693366667,7.63833440942108e-15,145.385278268162,223.105657714821,30.8479725926007,0.230400735824577,1
