[2026-03-22 16:52:16] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_comparison_formal_20260322_165216\fair_init\uav_comparison_results.mat
[2026-03-22 16:59:22] DONE: Scene 1 | GWO | run 1 | best=392.012838 | time=7.481s
[2026-03-22 16:59:29] DONE: Scene 1 | GWO | run 2 | best=314.801606 | time=6.960s
[2026-03-22 16:59:36] DONE: Scene 1 | GWO | run 3 | best=308.090158 | time=7.069s
[2026-03-22 16:59:44] DONE: Scene 1 | GWO | run 4 | best=334.939056 | time=6.964s
[2026-03-22 16:59:50] DONE: Scene 1 | GWO | run 5 | best=328.235956 | time=6.875s
[2026-03-22 16:59:57] DONE: Scene 1 | GWO | run 6 | best=329.661625 | time=6.861s
[2026-03-22 17:00:04] DONE: Scene 1 | GWO | run 7 | best=331.898650 | time=6.928s
[2026-03-22 17:00:11] DONE: Scene 1 | GWO | run 8 | best=326.888852 | time=6.914s
[2026-03-22 17:00:18] DONE: Scene 1 | GWO | run 9 | best=318.823165 | time=6.851s
[2026-03-22 17:00:25] DONE: Scene 1 | GWO | run 10 | best=314.322374 | time=6.949s
[2026-03-22 17:00:32] DONE: Scene 1 | GWO | run 11 | best=324.170457 | time=6.857s
[2026-03-22 17:00:39] DONE: Scene 1 | GWO | run 12 | best=350.789081 | time=6.872s
[2026-03-22 17:00:46] DONE: Scene 1 | GWO | run 13 | best=324.042445 | time=6.948s
[2026-03-22 17:00:53] DONE: Scene 1 | GWO | run 14 | best=330.485815 | time=6.882s
[2026-03-22 17:01:00] DONE: Scene 1 | GWO | run 15 | best=330.317330 | time=6.833s
[2026-03-22 17:01:07] DONE: Scene 1 | GWO | run 16 | best=343.348082 | time=6.989s
[2026-03-22 17:01:14] DONE: Scene 1 | GWO | run 17 | best=352.733482 | time=6.880s
[2026-03-22 17:01:21] DONE: Scene 1 | GWO | run 18 | best=327.962023 | time=6.900s
[2026-03-22 17:01:28] DONE: Scene 1 | GWO | run 19 | best=395.975273 | time=6.873s
[2026-03-22 17:01:35] DONE: Scene 1 | GWO | run 20 | best=309.479543 | time=6.881s
[2026-03-22 17:01:42] DONE: Scene 1 | GWO | run 21 | best=320.424831 | time=6.983s
[2026-03-22 17:01:49] DONE: Scene 1 | GWO | run 22 | best=319.963604 | time=6.877s
[2026-03-22 17:01:56] DONE: Scene 1 | GWO | run 23 | best=342.837033 | time=6.869s
[2026-03-22 17:02:03] DONE: Scene 1 | GWO | run 24 | best=347.971811 | time=6.947s
[2026-03-22 17:02:10] DONE: Scene 1 | GWO | run 25 | best=329.952456 | time=6.944s
[2026-03-22 17:02:17] DONE: Scene 1 | GWO | run 26 | best=312.768909 | time=6.910s
[2026-03-22 17:02:24] DONE: Scene 1 | GWO | run 27 | best=317.741684 | time=6.863s
[2026-03-22 17:02:31] DONE: Scene 1 | GWO | run 28 | best=324.868278 | time=6.887s
[2026-03-22 17:02:37] DONE: Scene 1 | GWO | run 29 | best=315.396048 | time=6.865s
[2026-03-22 17:02:44] DONE: Scene 1 | GWO | run 30 | best=356.020669 | time=6.946s
[2026-03-22 17:02:45] Block finished: Scene 1 | GWO | done=30 | failed=0
[2026-03-22 17:02:45] Entering block: Scene 1 | HHO
[2026-03-22 17:02:53] DONE: Scene 1 | HHO | run 1 | best=288.474666 | time=8.620s
[2026-03-22 17:03:02] DONE: Scene 1 | HHO | run 2 | best=280.761526 | time=8.556s
[2026-03-22 17:03:10] DONE: Scene 1 | HHO | run 3 | best=288.841610 | time=8.550s
[2026-03-22 17:03:19] DONE: Scene 1 | HHO | run 4 | best=292.721059 | time=8.390s
[2026-03-22 17:03:28] DONE: Scene 1 | HHO | run 5 | best=286.051248 | time=8.697s
[2026-03-22 17:03:37] DONE: Scene 1 | HHO | run 6 | best=295.560460 | time=8.965s
[2026-03-22 17:03:46] DONE: Scene 1 | HHO | run 7 | best=283.245520 | time=8.789s
[2026-03-22 17:03:55] DONE: Scene 1 | HHO | run 8 | best=298.741631 | time=9.358s
[2026-03-22 17:04:06] DONE: Scene 1 | HHO | run 9 | best=283.996799 | time=10.675s
[2026-03-22 17:04:16] DONE: Scene 1 | HHO | run 10 | best=290.550040 | time=10.160s
[2026-03-22 17:04:26] DONE: Scene 1 | HHO | run 11 | best=291.409053 | time=10.160s
[2026-03-22 17:04:37] DONE: Scene 1 | HHO | run 12 | best=315.731628 | time=10.305s
[2026-03-22 17:04:46] DONE: Scene 1 | HHO | run 13 | best=355.710294 | time=8.896s
