Scene,Algorithm,Mean,Std,Rank,Feasibility,AvgRuntime
1,FAEAE,302.32205606765,0.912291006305088,1,1,8.80082904333333
2,FAEAE,321.02690450675,6.79455258622077,1,1,7.92482615666666
4,FAEAE,330.425074345939,2.338321816089,1,1,10.4233096566667
