ParamKey,ParamValue,Scene,PaperScene,Run,Seed,BestFitness,Runtime,Feasible,Violation,WallClock
aos_c,0.3,2,2,1,20380520,317.818348793114,9.0327066,1,0,9.6623257
aos_c,0.3,2,2,2,20380521,318.40870075788,8.3162605,1,0,8.6346737
aos_c,0.3,2,2,3,20380522,320.463017744771,8.4641336,1,0,8.7960977
aos_c,0.3,2,2,4,20380523,317.222784450171,8.232262,1,0,8.5674071
aos_c,0.3,2,2,5,20380524,316.047210211647,8.4342277,1,0,8.7684296
aos_c,0.3,2,2,6,20380525,316.573890807664,8.1771739,1,0,8.4853211
aos_c,0.3,2,2,7,20380526,307.617427744668,9.5659051,1,0,9.8676475
aos_c,0.3,2,2,8,20380527,318.224826244849,8.3620238,1,0,8.6568235
aos_c,0.3,2,2,9,20380528,316.047439257768,7.6914357,1,0,7.9799586
aos_c,0.3,2,2,10,20380529,314.467911233034,8.4606963,1,0,8.769052
aos_c,0.3,2,2,11,20380530,316.698678328485,8.4206009,1,0,8.7206406
aos_c,0.3,2,2,12,20380531,317.247007674686,7.8435885,1,0,8.1341045
aos_c,0.3,2,2,13,20380532,327.440054189109,8.0976272,1,0,8.4007944
aos_c,0.3,2,2,14,20380533,317.957697061518,7.8520662,1,0,8.1400635
aos_c,0.3,2,2,15,20380534,336.923127738312,8.1832983,1,0,8.4805055
aos_c,0.3,2,2,16,20380535,313.854306985484,9.5338175,1,0,9.8846724
aos_c,0.3,2,2,17,20380536,316.293260613775,7.8920085,1,0,8.1838183
aos_c,0.3,2,2,18,20380537,320.078264976255,7.4338575,1,0,7.7213929
aos_c,0.3,2,2,19,20380538,320.174295436373,9.7196444,1,0,10.0189697
aos_c,0.3,2,2,20,20380539,311.650956179625,7.6797766,1,0,7.9717311
aos_c,0.3,2,2,21,20380540,322.714412157322,7.6064909,1,0,7.8889602
aos_c,0.3,2,2,22,20380541,323.803591330313,7.3664578,1,0,7.6409666
aos_c,0.3,2,2,23,20380542,323.475465110299,7.9446465,1,0,8.2278659
aos_c,0.3,2,2,24,20380543,327.336383574263,7.8241178,1,0,8.1096125
aos_c,0.3,2,2,25,20380544,321.350659169009,7.5468263,1,0,7.8239227
