ParamKey,ParamLabel,ParamValue,Scene,PaperScene,MeanCost,StdCost,MeanRuntime,FeasibilityRatio,NumRuns
aos_c,UCB coefficient c,0.3,2,2,319.570878636069,5.97705833266736,8.11381661333333,1,30
aos_c,UCB coefficient c,0.6,2,2,320.27807512515,11.8969469344818,7.86765148333333,1,30
aos_c,UCB coefficient c,0.9,2,2,318.378455054097,5.65330362003223,7.92577634333333,1,30
aos_c,UCB coefficient c,1.2,2,2,319.59453805625,12.5252171766341,7.70789679666667,1,30
aos_c,UCB coefficient c,1.5,2,2,318.947261587119,6.35136463430358,7.70987527333333,1,30
aos_c,UCB coefficient c,0.3,4,3,330.774807320722,2.35640644066928,10.3111781833333,1,30
aos_c,UCB coefficient c,0.6,4,3,331.402970729297,2.10122724336463,10.2393490166667,1,30
aos_c,UCB coefficient c,0.9,4,3,330.666992299367,1.80043188345088,10.3056417733333,1,30
aos_c,UCB coefficient c,1.2,4,3,331.731537497151,2.3259300137252,10.2827611266667,1,30
aos_c,UCB coefficient c,1.5,4,3,331.254161613447,2.90390397952247,10.25254598,1,30
aosFreezeFrac,AOS freeze fraction,0.3,2,2,319.350669674418,6.15798255405499,7.69785470333333,1,30
aosFreezeFrac,AOS freeze fraction,0.4,2,2,317.831318426367,6.92127530235661,7.70569004666667,1,30
aosFreezeFrac,AOS freeze fraction,0.5,2,2,320.171970392316,14.191629685168,7.76489488,1,30
aosFreezeFrac,AOS freeze fraction,0.6,2,2,318.35198695741,7.64223705247292,7.73901407333334,1,30
aosFreezeFrac,AOS freeze fraction,0.7,2,2,322.255241492695,15.9523184668171,7.71227159,1,30
aosFreezeFrac,AOS freeze fraction,0.3,4,3,330.036840755273,1.73210132015013,10.25807101,1,30
aosFreezeFrac,AOS freeze fraction,0.4,4,3,330.547004957218,1.87974623660354,10.27828736,1,30
aosFreezeFrac,AOS freeze fraction,0.5,4,3,331.262363588782,1.6657195645022,10.2428338933333,1,30
aosFreezeFrac,AOS freeze fraction,0.6,4,3,330.871571805819,4.0556458424844,10.0705385066667,1,30
aosFreezeFrac,AOS freeze fraction,0.7,4,3,330.845405574903,2.15481280282096,10.1346692266667,1,30
repairEliteFrac,Repair elite fraction,0.1,2,2,320.869676180173,8.76314067143417,7.10607053333333,1,30
repairEliteFrac,Repair elite fraction,0.2,2,2,319.281010775751,7.01233749282846,7.46997199,1,30
repairEliteFrac,Repair elite fraction,0.25,2,2,321.199246163385,8.52429100906105,7.71001658333334,1,30
repairEliteFrac,Repair elite fraction,0.3,2,2,318.850978221367,4.77179034577377,7.55186481333333,1,30
repairEliteFrac,Repair elite fraction,0.4,2,2,318.736121564624,6.32314876467047,7.95746791666667,1,30
repairEliteFrac,Repair elite fraction,0.1,4,3,336.32822015729,27.5475003741574,8.10648697333333,0.966666666666667,30
repairEliteFrac,Repair elite fraction,0.2,4,3,330.684217790774,1.83209310420226,9.32157958333333,1,30
repairEliteFrac,Repair elite fraction,0.25,4,3,340.305225112903,55.4281978759743,10.0985205066667,0.966666666666667,30
repairEliteFrac,Repair elite fraction,0.3,4,3,330.833463674691,2.6721481813133,10.52705421,1,30
repairEliteFrac,Repair elite fraction,0.4,4,3,330.693597437735,2.89626899309015,11.7016934533333,1,30
regenWindow,Stagnation window W,10,2,2,318.232268521855,6.32491747846417,7.55254973333333,1,30
regenWindow,Stagnation window W,14,2,2,320.059667037437,4.46597690279093,7.65645778666667,1,30
regenWindow,Stagnation window W,18,2,2,318.564612601469,4.68349270393892,7.52668467333333,1,30
regenWindow,Stagnation window W,22,2,2,319.783996778017,5.98668661713858,7.54072541333333,1,30
regenWindow,Stagnation window W,26,2,2,317.962394071966,5.54092660573338,7.54015921,1,30
regenWindow,Stagnation window W,10,4,3,331.805239169615,3.34058371297874,10.1523588066667,1,30
regenWindow,Stagnation window W,14,4,3,330.852451207342,3.93621368529132,10.11156729,1,30
regenWindow,Stagnation window W,18,4,3,331.128921626007,1.61345574698476,10.1723201733333,1,30
regenWindow,Stagnation window W,22,4,3,330.798095071109,1.92980290824597,10.14542639,1,30
regenWindow,Stagnation window W,26,4,3,331.864457197585,4.78834985989572,10.12578229,1,30
