Scene,Statistic,Base-AE,AE+Init,AE+Init+AOS,AE+Init+AOS+Repair,FAE-AE
Scene 1,Mean ± Std,802.3713 ± 419.0540,303.6671 ± 0.4084,302.6588 ± 1.0934,302.6716 ± 1.4351,302.4333 ± 0.8917
Scene 1,Rank,5.0000,4.0000,2.0000,3.0000,1.0000
Scene 2,Mean ± Std,6127.0231 ± 12571.7890,5382.6055 ± 11584.5966,336.2883 ± 54.1950,319.6116 ± 6.9320,318.3429 ± 7.5173
Scene 2,Rank,5.0000,4.0000,3.0000,2.0000,1.0000
Scene 4,Mean ± Std,2910.4744 ± 7270.1343,14513.3974 ± 22769.5785,7163.1913 ± 17803.8595,330.0955 ± 4.3849,330.9338 ± 2.4975
Scene 4,Rank,3.0000,5.0000,4.0000,1.0000,2.0000
Average,Rank,4.3333,4.3333,3.0000,2.0000,1.3333
