paperSceneId,algorithm,sceneId,runFile,bestFit,feasible,meanZ,maxZ,minZ,stdZ,pathLen,detourRatio,turnPenalty,lowAltFrac,highAltFrac,costNorm,meanZNorm,maxZNorm,stdZNorm,detourNorm,turnNorm,lowFracNorm,highFracNorm,repScore,inCostGate,manualSelected,isSelected
2,AE,2,scene2_AE_run001.mat,975.17492287458,0,35.1189374184292,38.4041787892128,12,5.55116472918359,198.136847623608,1.5549832946691,0.0443622837161826,0.231818181818182,0,0.0862016502078358,1,1,0.799765630709243,0.444801762018969,0.462014875248352,1,0,3.96451831552464,1,0,0
2,AE,2,scene2_AE_run002.mat,2312.33215160877,0,26.2126385220478,29.5958508607985,12,3.88178497491896,153.250185720222,1.20271156808033,0.0478387262722793,1,0,0.620101568417285,0.339316690216844,0.352161052571751,0.403096360060281,0.08565474321961,0.588369751671028,0,0,1.38049965767585,0,0,0
2,AE,2,scene2_AE_run003.mat,1586.60543247283,0,24.078720970251,30.2012130454508,12,4.20078762772256,176.651527592447,1.38636592677527,0.0316507191186264,1,0,0.330333523446327,0.181019318061696,0.396684508522213,0.478896099034851,0.272893486599639,0,0,0,1.03798469021058,0,0,0
2,AE,2,scene2_AE_run004.mat,2433.9356223439,0,21.6385016869672,24.8077008939257,12,2.33274013719284,179.260455316771,1.40684086153364,0.0411578707493254,1,0,0.668655382197982,0,0,0.0350204417956391,0.293768030945813,0.345547193731684,0,0,0.700728722801425,0,0,0
2,AE,2,scene2_AE_run005.mat,1372.52917184357,0,23.2574240570309,29.6654465860218,12,3.85468965927362,176.036902209427,1.38154233028356,0.0532305405130253,1,0,0.244857189336582,0.120094216708831,0.35727971093013,0.396658113120014,0.267975747907795,0.784340779838519,0,0,1.31487321805201,0,0,0
2,AE,2,scene2_AE_run006.mat,2299.35379416725,0,22.1499972529887,26.2598739032454,12,2.89204240550887,159.060017682104,1.2483072851512,0.0591640423438217,1,0,0.614919571994116,0.0379435484290517,0.106805087354502,0.167918916380866,0.132140352537724,1,0,0,1.06975048347412,0,0,0
2,AE,2,scene2_AE_run007.mat,2606.638435337,0,24.9161614357128,27.4709152635205,12,2.98813551776373,146.247179372416,1.14775178642484,0.0495867595045956,1,0,0.73761213294512,0.243141973600736,0.1958753134529,0.190752058243972,0.0296223107375249,0.651903815441106,0,0,1.10761353642823,0,0,0
2,AE,2,scene2_AE_run008.mat,1120.80268236159,0,23.5686063640885,26.9563781456652,12,3.05790397681247,156.578368967888,1.2288312394781,0.0459930823507278,1,0,0.14434787804728,0.143178211414677,0.158031901223791,0.207330073937805,0.112284192609055,0.521287927114797,0,0,0.781197833340233,0,0,0
2,AE,2,scene2_AE_run009.mat,2238.85197139769,0,22.611630540911,24.9599154573105,12,2.1853568613888,161.993019751357,1.27132556406105,0.0532979396164829,1,0,0.590762414156535,0.0721882343663832,0.0111951466076023,0,0.15560787951872,0.786790469499997,0,0,0.85764339201116,0,0,0
2,AE,2,scene2_AE_run010.mat,2264.92530126599,0,24.6536766200956,27.3268033157761,12,3.1284212673138,157.68884243135,1.23754626500498,0.042975125262953,1,0,0.601172969015005,0.22367043567377,0.18527610174129,0.224086023037969,0.121169309410933,0.411597176089449,0,0,0.994243072907755,0,0,0
2,AE,2,scene2_AE_run011.mat,2122.90310325889,0,22.3741970324393,25.5092912663157,12,2.37572754944483,160.050136608402,1.25607776504222,0.0446420262045599,1,0,0.544466369169825,0.0545750419443025,0.0516008908919865,0.0452348854664221,0.140062488993361,0.472182403397811,0,0,0.687859048190783,0,0,0
2,AE,2,scene2_AE_run012.mat,2000.00584709645,0,25.6612696296881,31.1003395261166,12,4.48173202779664,163.665396587362,1.28445042232729,0.0427424592843131,1,0,0.495395972956653,0.298415275504196,0.462813875817948,0.545652635398492,0.168988895827152,0.403140692053133,0,0,1.4150707059722,0,0,0
2,AE,2,scene2_AE_run013.mat,2113.74198976379,0,25.2298308011971,31.7702272126007,12,6.02620869962939,178.10345135403,1.39776066340034,0.0467440789066726,1,0,0.540808521281307,0.266410462226234,0.512083083008463,0.91264309001803,0.284510614458662,0.548583668519711,0,0,1.75484919432552,0,0,0
2,AE,2,scene2_AE_run014.mat,2731.06295494995,0,23.0225948747641,25.5046977658532,12,2.21089088841689,161.019717944464,1.2636870653742,0.0503667432335538,1,0,0.787292334657445,0.102674217315284,0.051263046010546,0.00606726171926285,0.147820300146255,0.680253125430819,0,0,0.925967443408911,0,0,0
2,AE,2,scene2_AE_run015.mat,2590.70892200862,0,26.6236542661276,31.065700191228,12,3.52048379059594,182.071513535211,1.42890212183147,0.0358689728935408,1,0,0.731251799485169,0.36980648685751,0.46026620610853,0.317245865645277,0.316259861169168,0.15331676731263,0,0,1.47847471757674,0,0,0
2,AE,2,scene2_AE_run016.mat,2654.50483268122,0,22.5805045667596,25.7650834020658,12,2.51960444484611,146.668401766553,1.15105755107225,0.0476327016109248,1,0,0.756724220198507,0.0698792604747775,0.0704140083566768,0.0794221595221119,0.0329925940397591,0.580881573682927,0,0,0.768066637617824,0,0,0
2,AE,2,scene2_AE_run017.mat,2106.83770148473,0,23.7480150644326,26.0786535506091,12,2.75634378219065,159.22130947041,1.24957310743207,0.0590258846244447,1,0,0.538051778193604,0.156487031983839,0.0934766096390274,0.13567492048826,0.133430879889738,0.99497851574504,0,0,1.13124811867701,0,0,0
2,AE,2,scene2_AE_run018.mat,2612.2976015929,0,23.969358916903,28.6173928302501,12,3.10125638918757,174.727347011658,1.37126490596597,0.0509768383613619,1,0,0.73987172391635,0.172906668327918,0.280196972014714,0.21763124702546,0.257497738956178,0.702427659666995,0,0,1.35563797883107,0,0,0
2,AE,2,scene2_AE_run019.mat,1332.88990081583,0,26.5768403915137,29.6945071546968,12,3.72858366895852,168.331932749951,1.3210735232993,0.0539137024429141,1,0,0.229030027724758,0.366333759747903,0.359417070980201,0.366693468421904,0.206326770372614,0.809171002065663,0,0,1.49276295021648,0,0,0
2,AE,2,scene2_AE_run020.mat,2429.9920850238,0,25.9456894351055,31.3089023679823,12,4.07108096494157,200.653902381601,1.57473720792345,0.0584849169552577,1,0,0.667080807265871,0.319513985596601,0.478153351487455,0.448075881410784,0.46494121267435,0.975316490014478,0,0,2.05514463703282,0,0,0
2,AE,2,scene2_AE_run021.mat,3263.79124843583,0,27.801413132594,31.1320080874307,12,4.95390494756542,267.526246095915,2.09955315507461,0.0320276315356168,1,0,1,0.457174498539626,0.465143049708277,0.657847890688009,1,0.0136992690379643,0,0,2.31746872557636,0,0,0
2,AE,2,scene2_AE_run022.mat,759.282101443196,0,30.3547284726073,37.5769221247825,12,6.3938496229619,199.131321663505,1.56278795360846,0.0507165519111155,0.654545454545455,0,0,0.646583460599664,0.939156546952716,1,0.452758744595916,0.692967281212675,0.449704142011834,0,3.09079719769699,1,0,1
2,AE,2,scene2_AE_run023.mat,3224.14282254637,0,26.801273261782,32.4256264663145,12,4.4775767564639,199.061243319315,1.56223797688358,0.0504103766648422,1,0,0.984169183036495,0.382982544307928,0.560286688292221,0.544665281595562,0.452198033967611,0.681839027320289,0,0,2.15715886035915,0,0,0
2,AE,2,scene2_AE_run024.mat,2000.11234174974,0,24.6380644848341,28.5009018384987,12,3.97328183732131,149.575294866926,1.17387092609402,0.0486686027012091,1,0,0.495438494124293,0.222512302837971,0.27162923905853,0.424837365115057,0.056251218020628,0.618532463101316,0,0,1.15518704255388,0,0,0
2,AE,2,scene2_AE_run025.mat,1616.06919341682,0,25.8546572395463,33.3787899485759,12,4.35527501343378,213.009584504897,1.67170493263695,0.0433360877688074,1,0,0.342097809066672,0.312761073645339,0.630390393796117,0.515604582205312,0.563801457826138,0.424716729220126,0,0,1.87416620474956,0,0,0
2,AE,2,scene2_AE_run026.mat,2098.93687060504,0,25.1289163219863,28.2524609469373,12,3.01846270097755,152.98472670782,1.20062823863073,0.0565320235074232,1,0,0.534897135740343,0.258924466875562,0.253356794277266,0.197958244622794,0.0835307534000314,0.90433657123658,0,0,1.2903936940347,0,0,0
2,AE,2,scene2_AE_run027.mat,1455.20766828014,0,26.7188014441101,33.1796127055251,12,4.68548502983711,180.654181711653,1.41777886366385,0.0408072499768491,1,0,0.277869045785917,0.376864654699996,0.615741214458294,0.594067356198514,0.304919510216456,0.332803521525805,0,0,1.6440486909831,0,0,0
2,AE,2,scene2_AE_run028.mat,1608.5256061122,0,23.0486662570832,27.9537981965104,12,3.69152610709417,193.236533515308,1.51652549810865,0.03528456216367,1,0,0.339085806769267,0.104608233606633,0.231390609157335,0.357888044731334,0.405593384105626,0.132075758907812,0,0,0.977676400829607,0,0,0
2,AE,2,scene2_AE_run029.mat,2471.39079750487,0,23.2911547838236,25.7562727110334,12,2.39614529175223,142.544944417724,1.11869654719734,0.0429696249386099,1,0,0.683610478371599,0.122596415262694,0.0697659956065872,0.0500864424166525,0,0.411397261150126,0,0,0.658830106673616,0,0,0
2,AE,2,scene2_AE_run030.mat,2276.75259545332,0,23.6569195415251,25.9684485115933,12,2.52926998717301,165.970400485599,1.30254015474654,0.047592663304426,1,0,0.605895369091493,0.149729422309923,0.0853711988212734,0.0817188350481222,0.187431685806824,0.579426340297592,0,0,0.942846446031192,0,0,0
2,PSO,2,scene2_PSO_run001.mat,809.46545743506,0,37.3784015599239,39.9999999985631,12,5.68220600701812,192.640803565064,1.51185019348019,0.0387240544214819,0.172727272727273,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,PSO,2,scene2_PSO_run002.mat,364.347392100498,1,26.8823626257561,38.7389858162224,12,6.74209891610627,157.751803733886,1.23804038699606,0.0187857964809723,0.813636363636364,0,0.373003915382099,0.504697297577536,0.942681173464654,0.64358406011049,0.164457421099103,0.203574033230133,0.229050279329609,0,2.17138495402732,0,0,0
2,PSO,2,scene2_PSO_run003.mat,406.591005809952,1,32.7389542111626,39.8182042073975,12,7.56963085096762,168.907732300703,1.32559241361797,0.0290083182768248,0.45,0,0.648290885606467,0.792562451160673,0.991736554881706,0.73733666735168,0.475293738318807,0.703073693427472,0.675977653631285,0,3.70650812401702,0,0,0
2,PSO,2,scene2_PSO_run004.mat,1581.29308680004,0,28.437405803659,38.8464158770373,9.18129013825834,11.1101024789266,312.08686000493,2.44926604825815,0.0521177679787761,0.509090909090909,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,PSO,2,scene2_PSO_run005.mat,818.568475431368,0,37.1668322946308,39.9986726287688,12,5.68595915837277,158.432740218391,1.24338439479085,0.0275645398630158,0.177272727272727,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,PSO,2,scene2_PSO_run006.mat,2046.26116553194,0,26.6592880170857,28.9188989753558,12,2.81319082636106,144.419648362414,1.13340927403946,0.038806499013323,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,PSO,2,scene2_PSO_run007.mat,339.837216115902,1,26.5144342432406,28.3196715132428,12,3.04770379746394,160.749005769576,1.26156250896451,0.0150019527826757,1,0,0.213279604557926,0.486612758337283,0.469075977874672,0.225039276567029,0.247968106664863,0.0186853453619559,0,0,1.24785654595508,0,0,0
2,PSO,2,scene2_PSO_run008.mat,1697.36025789004,0,18.852751302325,23.5911087412591,8.8134718876463,5.59056026702407,162.597741734146,1.27607143840212,0.0301746321129284,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,PSO,2,scene2_PSO_run009.mat,965.550443961544,0,33.1612953069157,39.8488115929416,12,8.56373838699823,183.678918711759,1.44151708077159,0.03873493563016,0.372727272727273,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
