Scene,Algorithm,Mean,Std,Rank,Feasibility,AvgRuntime
1,AE,291.691600646271,2.27978252081967,2,1,7.29550004333333
1,PSO,283.744008418733,7.88395617940453,1,1,7.17427294
1,GWO,329.451807959912,15.4390113430445,5,1,7.15741136
1,HHO,314.943907050103,80.8276510681474,4,0.966666666666667,9.06932493666667
1,WOA,392.450661113086,205.307416164677,6,0.9,7.01353036666667
1,FAEAE,302.145698291025,1.16163133694237,3,1,9.96188162
2,AE,958.528857831384,807.770221986006,6,0.566666666666667,7.30450302333333
2,PSO,684.687094960653,563.413046569956,5,0.633333333333333,7.22843950333333
2,GWO,329.758191826146,19.3993566049524,2,1,7.29366098
2,HHO,366.426485141278,88.4357866874999,3,0.966666666666667,9.17807473666667
2,WOA,567.539381173213,464.980664862235,4,0.9,7.0882602
2,FAEAE,319.292880853162,6.98614966846949,1,1,8.52063094666667
4,AE,373.502787378075,259.69928739228,2,0.966666666666667,7.35597724333333
4,PSO,531.482101721068,364.117965146653,4,0.666666666666667,7.31305956
4,GWO,375.152728425848,39.2135799293325,3,1,7.36910951666667
4,HHO,606.379393620759,358.767544302602,5,0.6,9.18839714
4,WOA,642.823860225939,259.640588390965,6,0.633333333333333,7.28907910666667
4,FAEAE,330.171619066999,2.38124976412662,1,1,12.3655607666667
