Scene,Statistic,AE,PSO,GWO,HHO,WOA,FAEAE
Scene 1,Mean ± Std,678.5742 ± 433.9307,413.0885 ± 213.1540,330.3860 ± 16.5464,378.3778 ± 120.6458,609.2366 ± 238.6176,305.8967 ± 10.6440
Scene 1,Rank,6.0000,4.0000,2.0000,3.0000,5.0000,1.0000
Scene 2,Mean ± Std,2036.1259 ± 706.0795,731.8355 ± 550.7925,360.3647 ± 37.8451,416.5936 ± 262.7598,1278.4405 ± 697.2477,310.1778 ± 3.4387
Scene 2,Rank,6.0000,4.0000,2.0000,3.0000,5.0000,1.0000
Scene 4,Mean ± Std,1631.5387 ± 139.1546,1386.7996 ± 560.0090,605.1731 ± 371.4997,756.6473 ± 391.0474,1563.6120 ± 416.0889,316.3008 ± 7.1631
Scene 4,Rank,6.0000,4.0000,2.0000,3.0000,5.0000,1.0000
Average,Rank,6.0000,4.0000,2.0000,3.0000,5.0000,1.0000
