SceneId,Algorithm,Mean,Std,Best,Median,FeasRatio,AvgRuntime,AvgViolation,AvgLength,AvgEnergy,AvgRisk,AvgSmoothness,Rank
1,AE,575.050481951656,377.003080417746,338.300206617052,412.246886089511,0.8,7.2955195,0.9,156.280099620808,321.429105146433,71.4985371444861,0.764497797366308,5
1,PSO,440.395999573713,211.814273419223,323.641202976746,365.972535839065,0.8,7.04534289,0.500000000000001,158.22366895875,258.033590839762,43.5467090953579,0.640834644508245,3
1,GWO,331.397714292379,14.0804681891571,310.763900884262,332.307540482662,1,7.39390767,0,157.200248476269,234.025446520998,28.0698540410952,0.655820361317082,2
1,HHO,446.370655013798,191.203369411244,316.878761692676,368.440134342335,0.8,8.82591629,0.5,155.661567741979,291.141383641378,34.0415589008155,1.16257604009097,4
1,WOA,603.572665649873,245.976798979007,325.571074687837,543.954930623728,0.8,7.01579789,0.6,195.606212204073,447.103671242166,41.2228423033481,1.57893290988043,6
1,FAEAE,312.644755549198,11.7522967782922,294.569299902259,315.010902764906,1,74.29917226,0,148.240482139116,220.35726999803,26.8063799804819,0.14836956457472,1
2,AE,2036.23707527608,517.985878741915,1218.58220223818,2241.33079668976,0,7.40585899,9.8,163.192554305741,509.94861483961,80.7229529406852,1.38539025167547,6
2,PSO,552.381793736448,331.104175361367,299.929531615034,384.00449691471,0.7,7.13217683,1.10000000000001,162.392209501726,317.985494978262,28.398443452707,0.80103403010787,4
2,GWO,362.098397617765,39.620186399569,309.06809257665,346.270217758926,1,7.43206272,0,167.10643793638,282.380953938867,21.1763567777993,1.01172789803527,3
2,HHO,336.375553416972,38.7812630973738,294.476078594274,320.660157548296,1,8.84691505,0,157.191731680707,249.220400546499,24.5981340411378,0.892137060006794,2
2,WOA,1264.73135992131,723.993614800152,485.573831001059,1268.66627263463,0.5,7.17975442,3.9968021514159,195.285069009967,563.215338570315,57.7258361719933,2.06694222964262,5
2,FAEAE,308.813077843164,2.89331353351109,304.351706988568,308.720134382147,1,96.18340559,0,151.258396814251,228.859313688934,16.8538619911983,0.0963895074282104,1
4,AE,1782.62657327983,209.051765861892,1545.42451485886,1751.50106846205,0,7.33813467,8.3,160.454000337407,510.29279495344,58.9892407804936,1.39871355842787,6
4,PSO,673.930035735447,331.713482377972,293.822065718546,703.560085322596,0.4,7.20035244,2.10000000000002,156.184164444919,284.050279199442,26.797103405862,1.06119789218581,4
4,GWO,368.57475202074,21.7968983148227,342.915402871984,365.702572263041,1,7.5930734,0,170.860308916403,291.011528164899,19.1665181063055,0.718029852211322,2
4,HHO,595.959401271975,295.993097414931,301.423367599571,551.579797255363,0.5,9.06977527,1.3,162.067103264413,336.103159314675,30.8872744203836,1.10448742864251,3
4,WOA,985.971140569807,220.708194782926,442.932791650741,1014.42889734883,0.1,7.20061814,2.9,176.11894219473,529.882880922899,47.183808823489,2.01266155434412,5
4,FAEAE,313.577930218305,3.4183588693955,305.338339674199,314.081788308449,1,109.70343449,0,146.721691641873,228.503700607686,24.7722705002286,0.181957410303211,1
