SceneId,Algorithm,Mean,Std,Best,Median,FeasRatio,AvgRuntime,AvgViolation,AvgLength,AvgEnergy,AvgRisk,AvgSmoothness,Rank
1,Base-AE,802.371346234487,419.054035965394,348.731308771598,624.51636117917,0.433333333333333,6.6402183,2.2,160.321015090984,358.626207033971,75.0268552151735,1.17142665497132,5
1,AE+Init,303.667051952276,0.408367841053265,302.792144024327,303.703242303372,1,6.65264842666667,0,134.026464799447,183.932652770878,49.3941016307867,0.0538235557208588,4
1,AE+Init+AOS,302.6587573768,1.09342931290167,299.35364609971,302.640105297807,1,6.64394157333333,0,134.073852851303,183.599074947168,48.6809666613677,0.0553304236974471,2
1,AE+Init+AOS+Repair,302.671636907449,1.43505585044933,298.417725979443,303.117562245311,1,8.40102137333333,0,133.99809966708,183.497969918544,48.8057374892581,0.052468680882571,3
1,FAE-AE,302.43325186528,0.89165335049522,300.905107572413,302.305176848722,1,8.42967957,0,134.089810070744,182.61601268467,48.9704715206754,0.0617890594877234,1
2,Base-AE,6127.02308671556,12571.7889869663,530.618388864427,2175.03759064261,0.0666666666666667,6.72299606666667,10.3,174.683817129039,548.010917863562,83.8873446482758,1.44132201092293,5
2,AE+Init,5382.60553972086,11584.5965647719,312.352495643657,361.041377664329,1,6.71270993,0,162.603056190686,304.0418588949,18.6361960586024,0.20247899915324,4
2,AE+Init+AOS,336.288281280337,54.1949685051657,310.161366042478,320.103580889492,0.966666666666667,6.76899602333333,0.0666666666666667,152.313731487263,252.492981767752,18.7164571632223,0.126747577041367,3
2,AE+Init+AOS+Repair,319.611594459158,6.93201965697731,312.538988335289,318.087281452112,1,7.56520292333333,0,150.995009321545,243.789319855587,18.6072857506111,0.0950021568546815,2
2,FAE-AE,318.342875445515,7.51731629723927,304.674255791979,317.883588319916,1,7.52372181333333,0,151.100693977894,241.906727133555,18.4020262496512,0.104757919377815,1
4,Base-AE,2910.47438642088,7270.13433783759,1355.55432079764,1584.08746735681,0,6.75451882666667,7,161.269696624184,493.562457816844,56.1187878170565,1.75623546474231,3
4,AE+Init,14513.3974312666,22769.578477344,638.971398206921,1078.85694091842,0.2,6.79778259333333,3.46666666666667,147.470453954205,248.599193364793,41.2264788870352,0.231068826900391,5
4,AE+Init+AOS,7163.19127251226,17803.8594637232,327.773665789125,332.578422336874,0.9,6.84527128333333,0.1,146.25611622462,242.055872798187,42.3383920851474,0.212800196404852,4
4,AE+Init+AOS+Repair,330.095457220579,4.38486578567251,316.124351368732,329.804051673941,1,10.0260682333333,0,143.742719332107,224.942230320479,42.7967905636555,0.208340131986223,1
4,FAE-AE,330.933753940905,2.49754245552141,326.458790277744,330.683128599047,1,10.1177050166667,0,143.657535779192,224.311702665141,43.8812068076823,0.211655956065105,2
