SceneId,Method,SafeName,RunFile,RunId,Feasible,BestFit,MeanZ,MaxZ,MinZ,StdZ,PathLen,DetourRatio,TurnPenalty,LowAltFrac,HighAltFrac,LowAltScore
2,AE+Init,AE_INIT,scene2_AE_INIT_run030.mat,NaN,1,364.438735583034,19.37333523739,26.9609714505307,12,4.70053115496869,158.988258693859,1.2477441186867,0.0260651792054521,1,0,1.1410833861691
2,AE+Init,AE_INIT,scene2_AE_INIT_run019.mat,NaN,1,328.808573412321,21.7867723318792,29.5846772253768,12,5.93587104159877,153.047097372179,1.20111772527756,0.012738058647512,1,0,1.36863700887067
2,AE+Init,AE_INIT,scene2_AE_INIT_run013.mat,NaN,1,337.533308963207,20.8306704557171,30.1253603202862,12,6.57582950635356,155.111845438953,1.21732192348724,0.0145246948337988,1,0,1.38304770197306
2,AE+Init,AE_INIT,scene2_AE_INIT_run028.mat,NaN,1,361.098457528418,19.6838326555674,30.4256384220997,10.5149706950021,7.49185146769885,159.696784510795,1.25330464830243,0.015724057195251,1,0,1.39588633677274
2,AE+Init,AE_INIT,scene2_AE_INIT_run015.mat,NaN,1,343.425946034037,21.3749306367985,30.1178188421013,12,6.43706530661051,155.82463680783,1.22291592926901,0.0131660966603479,1,0,1.40752324895692
2,AE+Init,AE_INIT,scene2_AE_INIT_run006.mat,NaN,1,369.642749978041,20.0734161134743,30.9711494351302,11.1412315094703,7.48784287898147,166.033240747552,1.30303332680789,0.0141139093764278,1,0,1.47028434186369
2,AE+Init,AE_INIT,scene2_AE_INIT_run004.mat,NaN,1,317.180964478985,23.1597527797319,30.5260795169529,12,5.81764444017125,150.935509823205,1.18454592955522,0.0115573995068962,1,0,1.48103601591614
2,AE+Init,AE_INIT,scene2_AE_INIT_run022.mat,NaN,1,312.352495643657,23.7634147269243,30.0955851593764,12,5.10985846303993,150.452245596041,1.1807532589381,0.0146654009264281,1,0,1.48505140105171
2,AE+Init,AE_INIT,scene2_AE_INIT_run020.mat,NaN,1,346.742848972887,21.6197554128915,30.8626324581813,12,6.78723978427172,157.945628253324,1.23956152702346,0.0151575801105645,1,0,1.50004716954839
2,AE+Init,AE_INIT,scene2_AE_INIT_run008.mat,NaN,1,331.375010466132,21.9073553208798,31.1530545634615,12,7.05870946589294,154.756320484304,1.21453175410709,0.0110720791378373,1,0,1.50280219268727
2,AE+Init,AE_INIT,scene2_AE_INIT_run007.mat,NaN,1,341.821196554587,21.3721872869922,31.8003879560582,12,7.01381204587132,156.513073496368,1.22831879886622,0.0124361172591344,1,0,1.51336966776523
2,AE+Init,AE_INIT,scene2_AE_INIT_run003.mat,NaN,1,342.545042800361,20.7194026829453,31.9320977006664,12,7.42007649221939,158.393610867853,1.24307730659829,0.0157216623433705,1,0,1.52640907216934
2,AE+Init,AE_INIT,scene2_AE_INIT_run014.mat,NaN,1,323.59698931103,23.4169760506534,30.9055148250265,12,5.65842605967399,152.102379439543,1.19370355360257,0.0157920207808208,1,0,1.54234930061026
2,AE+Init,AE_INIT,scene2_AE_INIT_run026.mat,NaN,1,26759.2083946019,15.8202609535486,30.7981119208629,8.12163173749927,8.01895600985553,189.937386958748,1.49063370744152,0.0339329215257751,1,0,1.56434973014047
2,AE+Init,AE_INIT,scene2_AE_INIT_run009.mat,NaN,1,392.753653956546,20.0287269987486,32.1057093976424,10.2897780577751,8.070996215282,169.640714713023,1.33134487925025,0.015556161396969,1,0,1.57719687605594
2,AE+Init,AE_INIT,scene2_AE_INIT_run023.mat,NaN,1,370.36629441629,20.6385912099871,32.2706982239795,11.6117877692617,8.06862997580497,161.515478016349,1.26757780371586,0.0190517754607085,1,0,1.60618463670225
2,AE+Init,AE_INIT,scene2_AE_INIT_run021.mat,NaN,1,356.255146633005,22.6599573746308,31.5368718583427,12,7.04547163946794,157.564531867373,1.23657067236458,0.0168083283959006,1,0,1.62305672070298
2,AE+Init,AE_INIT,scene2_AE_INIT_run018.mat,NaN,1,335.129997271571,25.3520402668389,29.8518872028119,12,5.07829322245478,156.769103286153,1.23032812752381,0.0166967396706016,1,0,1.62512548512685
2,AE+Init,AE_INIT,scene2_AE_INIT_run024.mat,NaN,1,370.493128380452,23.2411534476558,31.1132439730293,12,6.95704428342103,165.043546269673,1.29526617799944,0.0171505135679706,1,0,1.67917912033524
2,AE+Init,AE_INIT,scene2_AE_INIT_run027.mat,NaN,1,379.186217389673,21.4925606139887,33.5674016090269,12,8.04101088927447,163.053523211197,1.27964842365919,0.0167793180382629,1,0,1.71683999059873
2,AE+Init,AE_INIT,scene2_AE_INIT_run011.mat,NaN,1,360.98429780024,22.2978126870068,33.3825234561979,11.5518589794858,8.02128053998043,163.013516023128,1.27933444617414,0.0210063503055033,1,0,1.7885613531291
2,AE+Init,AE_INIT,scene2_AE_INIT_run002.mat,NaN,1,381.334965465807,23.1858750494341,31.6197682280742,12,7.26246034963808,168.307581775142,1.32088241619585,0.0263956991013576,1,0,1.791379729132
2,AE+Init,AE_INIT,scene2_AE_INIT_run029.mat,NaN,1,339.311689546349,25.2421352366737,33.5611703060143,12,6.77876394617117,152.808633203814,1.19924625208803,0.01493877380186,1,0,1.84253262823891
2,AE+Init,AE_INIT,scene2_AE_INIT_run010.mat,NaN,1,26707.3280040018,20.57570610342,33.5644091422362,8.53222860821431,9.65304259159059,170.386194715569,1.33719542630585,0.0199628651421547,1,0,1.899967727569
2,AE+Init,AE_INIT,scene2_AE_INIT_run025.mat,NaN,1,375.171499601168,26.044612060815,32.9504613025558,12,6.47244798089486,162.777142510203,1.27747938050458,0.0269803663495892,1,0,1.98356585748613
2,AE+Init,AE_INIT,scene2_AE_INIT_run017.mat,NaN,1,340.732260707879,28.1135750153344,33.2855475646844,12,5.98758352399658,151.936264165208,1.19239987647396,0.0280749837712383,1,0,2.06570505149374
2,AE+Init,AE_INIT,scene2_AE_INIT_run012.mat,NaN,1,386.057293177288,27.3849639183368,34.5668750571361,12,6.44654658118157,161.947175735059,1.27096577899149,0.031116702700781,1,0,2.17154248885534
2,AE+Init,AE_INIT,scene2_AE_INIT_run005.mat,NaN,1,28070.7625008925,20.7692273415865,36.7670748874457,8.69705325659296,9.9088105041843,188.551904421857,1.47976040332994,0.0329292130086791,0.868181818181818,0,2.71352071099704
2,AE+Init,AE_INIT,scene2_AE_INIT_run001.mat,NaN,1,33251.2352555994,20.2958178348759,38.4146116413358,8.5079527833977,10.6706376505053,183.928145718672,1.44347302100673,0.0266838299035945,0.840909090909091,0,2.84616245146155
2,AE+Init,AE_INIT,scene2_AE_INIT_run016.mat,NaN,1,37881.2932724571,22.6291011375025,39.1507981063297,8.57066034218565,11.6522145860706,181.110205027604,1.42135774687911,0.0222132562505483,0.75,0,3.37187102278459
2,AE+Init+AOS,AE_INIT_AOS,scene2_AE_INIT_AOS_run003.mat,NaN,1,313.652613711821,14.2269322739588,18,12,1.22342322440216,148.892618599641,1.16851326443731,0.0154291177980465,1,0,0.0824651175938726
2,AE+Init+AOS,AE_INIT_AOS,scene2_AE_INIT_AOS_run028.mat,NaN,1,318.014790830839,15.8989006373837,18.0303033880176,12,1.7160060884284,151.459846390952,1.1886609370029,0.0208320266213943,1,0,0.268559888430222
2,AE+Init+AOS,AE_INIT_AOS,scene2_AE_INIT_AOS_run014.mat,NaN,1,314.502104370768,19.3104011254111,21.0213797434245,12,2.29886262505706,148.941385187604,1.16889598592768,0.015941055390843,1,0,0.622278286197641
2,AE+Init+AOS,AE_INIT_AOS,scene2_AE_INIT_AOS_run027.mat,NaN,1,344.454525277579,17.9858229594026,25.608666478294,12,4.62696667324941,154.853124354824,1.21529147347945,0.0195301966493769,1,0,0.916078092085659
2,AE+Init+AOS,AE_INIT_AOS,scene2_AE_INIT_AOS_run008.mat,NaN,1,330.206282556298,21.108497594531,29.8168996274617,12,5.5698415380726,156.524516404007,1.2284086031123,0.0131634691260666,1,0,1.33738290817223
2,AE+Init+AOS,AE_INIT_AOS,scene2_AE_INIT_AOS_run024.mat,NaN,1,351.995790149666,19.7265946143666,30.1493464364599,11.6230989660515,6.93360099066458,157.683925575005,1.23750767738451,0.0155353530181539,1,0,1.34716402624775
2,AE+Init+AOS,AE_INIT_AOS,scene2_AE_INIT_AOS_run025.mat,NaN,1,315.671001028616,21.7422244773619,30.3585090742259,12,5.65981614622347,149.966908382762,1.17694431947034,0.0098488837844757,1,0,1.35403846064193
2,AE+Init+AOS,AE_INIT_AOS,scene2_AE_INIT_AOS_run002.mat,NaN,1,313.624081669529,22.6807576925479,29.7096300803429,12,4.93447192327258,149.767514257559,1.17537946902751,0.0120564789839841,1,0,1.36502804172581
