SceneId,Base_AE_Mean,Base_AE_Std,Base_AE_Best,Base_AE_Median,Base_AE_FeasRatio,Base_AE_AvgTime,Base_AE_AvgV,Base_AE_Rank,AE_Init_Mean,AE_Init_Std,AE_Init_Best,AE_Init_Median,AE_Init_FeasRatio,AE_Init_AvgTime,AE_Init_AvgV,AE_Init_Rank,AE_Init_AOS_Mean,AE_Init_AOS_Std,AE_Init_AOS_Best,AE_Init_AOS_Median,AE_Init_AOS_FeasRatio,AE_Init_AOS_AvgTime,AE_Init_AOS_AvgV,AE_Init_AOS_Rank,AE_Init_AOS_Repair_Mean,AE_Init_AOS_Repair_Std,AE_Init_AOS_Repair_Best,AE_Init_AOS_Repair_Median,AE_Init_AOS_Repair_FeasRatio,AE_Init_AOS_Repair_AvgTime,AE_Init_AOS_Repair_AvgV,AE_Init_AOS_Repair_Rank,FAEAE_Mean,FAEAE_Std,FAEAE_Best,FAEAE_Median,FAEAE_FeasRatio,FAEAE_AvgTime,FAEAE_AvgV,FAEAE_Rank,BestAlgByMean
1,802.371346234487,419.054035965394,348.731308771598,624.51636117917,0.433333333333333,6.6402183,2.2,5,303.667051952276,0.408367841053265,302.792144024327,303.703242303372,1,6.65264842666667,0,4,302.6587573768,1.09342931290167,299.35364609971,302.640105297807,1,6.64394157333333,0,2,302.671636907449,1.43505585044933,298.417725979443,303.117562245311,1,8.40102137333333,0,3,302.43325186528,0.89165335049522,300.905107572413,302.305176848722,1,8.42967957,0,1,FAEAE
2,6127.02308671556,12571.7889869663,530.618388864427,2175.03759064261,0.0666666666666667,6.72299606666667,10.3,5,5382.60553972086,11584.5965647719,312.352495643657,361.041377664329,1,6.71270993,0,4,336.288281280337,54.1949685051657,310.161366042478,320.103580889492,0.966666666666667,6.76899602333333,0.0666666666666667,3,319.611594459158,6.93201965697731,312.538988335289,318.087281452112,1,7.56520292333333,0,2,318.342875445515,7.51731629723927,304.674255791979,317.883588319916,1,7.52372181333333,0,1,FAEAE
4,2910.47438642088,7270.13433783759,1355.55432079764,1584.08746735681,0,6.75451882666667,7,3,14513.3974312666,22769.578477344,638.971398206921,1078.85694091842,0.2,6.79778259333333,3.46666666666667,5,7163.19127251226,17803.8594637232,327.773665789125,332.578422336874,0.9,6.84527128333333,0.1,4,330.095457220579,4.38486578567251,316.124351368732,329.804051673941,1,10.0260682333333,0,1,330.933753940905,2.49754245552141,326.458790277744,330.683128599047,1,10.1177050166667,0,2,AE+Init+AOS+Repair
