FuncId,Algorithm,Mean,Std,Best,Median,AvgRuntime,Rank
1,AE,9532852.38167173,928724.587034917,8506448.685189,9776979.9883958,0.609125633333333,2
1,DE,531168.476486514,782591.006940145,179.877104959519,163427.421322004,0.135600966666667,1
1,PSO,736951353.565941,643041158.93593,2389.51103231285,1026802681.43725,0.0843229333333333,5
1,GWO,5559386315.74235,1780793614.5881,3745079492.02875,5628420428.31804,0.129771633333333,6
1,HHO,102829075.836554,12375893.0237482,88591497.1490931,108884266.113898,0.1169982,3
1,FAEAE,108085368.965342,16824261.676696,90457271.4367369,109828815.626046,0.752390533333333,4
3,AE,33123.8794006953,4465.39983278626,28290.5949358305,33985.1063741312,0.593029433333333,2
3,DE,35652.3567917882,12339.9695082935,22300.1313948742,38019.9424590989,0.149983133333333,3
3,PSO,37817.6482002088,2871.4865708648,35175.3274467054,37404.1498487488,0.0965266333333333,4
3,GWO,88941.458245626,5088.66648057367,83188.3607220857,90783.1503922123,0.134441533333333,6
3,HHO,51882.0138569812,12614.9732735762,42763.409939548,46603.8442075673,0.117224133333333,5
3,FAEAE,15965.2519864677,1706.74694260023,14009.0568983718,16736.0798775093,0.733585333333333,1
