[2026-03-13 10:13:27] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_cec2017_formal\cec2017_batch_results.mat
[2026-03-13 10:13:57] DONE: F1 | PSO | run 3 | best=7.857510e+09 | time=0.077s
[2026-03-13 10:13:57] DONE: F1 | PSO | run 4 | best=9.354214e+02 | time=0.077s
[2026-03-13 10:13:57] DONE: F1 | PSO | run 5 | best=2.840281e+03 | time=0.079s
[2026-03-13 10:13:57] DONE: F1 | PSO | run 6 | best=4.746535e+02 | time=0.077s
[2026-03-13 10:13:58] DONE: F1 | PSO | run 7 | best=1.604921e+09 | time=0.079s
[2026-03-13 10:13:58] DONE: F1 | PSO | run 8 | best=1.026800e+09 | time=0.077s
[2026-03-13 10:13:58] DONE: F1 | PSO | run 9 | best=6.278296e+02 | time=0.077s
[2026-03-13 10:13:58] DONE: F1 | PSO | run 10 | best=2.210856e+09 | time=0.077s
[2026-03-13 10:13:59] DONE: F1 | PSO | run 11 | best=1.375898e+09 | time=0.079s
[2026-03-13 10:13:59] DONE: F1 | PSO | run 12 | best=4.042311e+02 | time=0.077s
[2026-03-13 10:13:59] DONE: F1 | PSO | run 13 | best=1.073730e+04 | time=0.080s
[2026-03-13 10:13:59] DONE: F1 | PSO | run 14 | best=1.184053e+09 | time=0.078s
[2026-03-13 10:13:59] DONE: F1 | PSO | run 15 | best=1.050524e+04 | time=0.077s
[2026-03-13 10:14:00] DONE: F1 | PSO | run 16 | best=2.418480e+08 | time=0.080s
[2026-03-13 10:14:00] DONE: F1 | PSO | run 17 | best=1.184061e+09 | time=0.078s
[2026-03-13 10:14:00] DONE: F1 | PSO | run 18 | best=5.590377e+03 | time=0.078s
[2026-03-13 10:14:00] DONE: F1 | PSO | run 19 | best=1.342115e+04 | time=0.076s
[2026-03-13 10:14:00] DONE: F1 | PSO | run 20 | best=1.375901e+09 | time=0.077s
[2026-03-13 10:14:01] DONE: F1 | PSO | run 21 | best=2.505089e+09 | time=0.078s
[2026-03-13 10:14:01] DONE: F1 | PSO | run 22 | best=1.184054e+09 | time=0.076s
[2026-03-13 10:14:01] DONE: F1 | PSO | run 23 | best=2.234893e+02 | time=0.079s
[2026-03-13 10:14:01] DONE: F1 | PSO | run 24 | best=1.184051e+09 | time=0.077s
[2026-03-13 10:14:02] DONE: F1 | PSO | run 25 | best=1.184050e+09 | time=0.080s
[2026-03-13 10:14:02] DONE: F1 | PSO | run 26 | best=1.188985e+03 | time=0.076s
[2026-03-13 10:14:02] DONE: F1 | PSO | run 27 | best=1.840462e+03 | time=0.079s
[2026-03-13 10:14:02] DONE: F1 | PSO | run 28 | best=1.558035e+04 | time=0.077s
[2026-03-13 10:14:02] DONE: F1 | PSO | run 29 | best=8.162026e+03 | time=0.081s
[2026-03-13 10:14:03] DONE: F1 | PSO | run 30 | best=2.011586e+04 | time=0.079s
[2026-03-13 10:14:03] Block finished: F1 | PSO | done=30 | failed=0
[2026-03-13 10:14:03] Entering block: F1 | GWO
[2026-03-13 10:14:03] DONE: F1 | GWO | run 1 | best=3.745079e+09 | time=0.115s
[2026-03-13 10:14:03] DONE: F1 | GWO | run 2 | best=5.628420e+09 | time=0.114s
[2026-03-13 10:14:03] DONE: F1 | GWO | run 3 | best=6.173744e+09 | time=0.115s
[2026-03-13 10:14:04] DONE: F1 | GWO | run 4 | best=6.634664e+09 | time=0.115s
[2026-03-13 10:14:04] DONE: F1 | GWO | run 5 | best=4.848346e+09 | time=0.114s
[2026-03-13 10:14:04] DONE: F1 | GWO | run 6 | best=6.201908e+09 | time=0.114s
[2026-03-13 10:14:04] DONE: F1 | GWO | run 7 | best=5.900315e+09 | time=0.113s
[2026-03-13 10:14:05] DONE: F1 | GWO | run 8 | best=4.045054e+09 | time=0.115s
[2026-03-13 10:14:05] DONE: F1 | GWO | run 9 | best=4.721758e+09 | time=0.113s
