Scene,Algorithm,Mean,Std,Rank,Feasibility,AvgRuntime
1,Base-AE,802.371346234487,419.054035965394,5,0.433333333333333,7.11697385333333
1,AE+Init,303.667051952276,0.408367841053265,4,1,6.87625455
1,AE+Init+AOS,302.6587573768,1.09342931290167,3,1,6.94432419333333
1,AE+Init+AOS+Repair,302.641860978034,1.51362694253141,2,1,9.74885146
1,FAEAE,302.319662443182,0.905310496432671,1,1,9.70686156
2,Base-AE,6127.02308671556,12571.7889869663,5,0.0666666666666667,6.8560143
2,AE+Init,5382.60553972086,11584.5965647719,4,1,6.88423820666666
2,AE+Init+AOS,336.288281280337,54.1949685051657,3,0.966666666666667,6.98584358666667
2,AE+Init+AOS+Repair,319.474054077242,7.17599491736302,2,1,8.27290064666667
2,FAEAE,318.575032855177,6.44624088658124,1,1,8.35233739333333
4,Base-AE,2910.47438642088,7270.13433783759,3,0,7.04457782666667
4,AE+Init,14513.3974312666,22769.578477344,5,0.2,7.05278457666667
4,AE+Init+AOS,7163.19127251226,17803.8594637232,4,0.9,7.03654840333333
4,AE+Init+AOS+Repair,329.577992862564,3.61023788491401,1,1,12.0702725833333
4,FAEAE,330.39496402123,2.4947084148838,2,1,12.19175373
