FuncId,Method,Mean,Std,Best,Median,AvgRuntime,Rank
1,Base-AE,7950739.64665444,744887.863929757,6420017.19144225,7898421.88754451,5.80452040333333,3
1,AE+Init,2352957.14408002,256376.910558613,1854381.79496645,2350702.83136582,5.89783472,2
1,AE+Init+AOS,111194.401577023,10053.4229060506,83992.2894495616,111961.938355901,6.83475813333333,1
1,AE+Init+AOS+Repair,232330644.723443,27696708.0677701,144720816.240631,235273312.555692,7.10755836,4
1,FAE-AE,358736060.055364,49011148.9147383,264303500.151294,355697313.034384,6.30522953333333,5
3,Base-AE,316.551220539805,2.04010004911269,310.918256993057,316.306053001835,5.80834073666667,3
3,AE+Init,305.069228370136,0.675349737214559,303.820525798161,305.02852463806,5.91286028333333,2
3,AE+Init+AOS,300.216578923276,0.0225250449679309,300.147419453448,300.219063707147,6.99410727333333,1
3,AE+Init+AOS+Repair,878.622251156101,123.568739003895,590.286982135879,890.624466766401,7.27321391333333,4
3,FAE-AE,1242.31151822459,131.34903843091,1010.38068059767,1225.49553148025,6.50330061666667,5
4,Base-AE,485.977114484675,29.4233274705967,401.686134964764,479.663741162742,5.61054121,2
4,AE+Init,495.725830840572,25.8018219631858,404.669803862352,511.95731847752,5.71772881666667,3
4,AE+Init+AOS,462.557110582803,24.3322007692029,400.053765106976,471.610231947979,6.77561749,1
4,AE+Init+AOS+Repair,507.973793941971,12.5627904162983,497.041218731969,503.120251606581,7.04447540333333,4
4,FAE-AE,515.14331448841,12.7593082611605,502.442717837214,509.239828033492,6.28585987666667,5
5,Base-AE,675.112936894835,26.3851929815951,630.795776913436,676.64389937047,5.70580103333333,4
5,AE+Init,631.872092127422,15.5032602368642,605.913650312847,631.669349121878,5.81704033,1
5,AE+Init+AOS,702.403422460203,25.6746033485345,659.257146081059,695.573706001569,6.84869349666667,5
5,AE+Init+AOS+Repair,649.463461866734,14.5628038579898,616.919433240441,647.874793052883,7.13851368333333,2
5,FAE-AE,660.526571908489,10.36762040819,628.339390458873,661.655376458766,6.34550503666667,3
6,Base-AE,651.233389915581,6.95747699183123,630.178517458325,652.598373210534,6.6300898,5
6,AE+Init,635.977172624005,13.9727947264826,604.438676782179,636.469911574836,6.75465056,3
6,AE+Init+AOS,644.90890391448,9.48613939801021,622.710224901288,645.31683436181,7.80810697666667,4
6,AE+Init+AOS+Repair,606.013398863815,0.515663620451244,605.206862285121,605.855473430219,8.08738197,1
6,FAE-AE,607.459941452267,0.711858213991708,605.849882568938,607.47541647488,7.31772818333333,2
