[2026-03-20 20:52:13] Starting new batch: results_cec2017_ablation_formal_high\cec_ablation_batch_results.mat
[2026-03-20 22:36:18] DONE: F1 | AE+Init | run 27 | best=2.647155e+06 | time=5.845s
[2026-03-20 22:36:24] DONE: F1 | AE+Init | run 28 | best=2.016417e+06 | time=5.837s
[2026-03-20 22:36:30] DONE: F1 | AE+Init | run 29 | best=2.650921e+06 | time=5.831s
[2026-03-20 22:36:36] DONE: F1 | AE+Init | run 30 | best=2.133749e+06 | time=5.813s
[2026-03-20 22:36:36] Block finished: F1 | AE+Init | done=30 | failed=0
[2026-03-20 22:36:36] Entering block: F1 | AE+Init+AOS
[2026-03-20 22:36:43] DONE: F1 | AE+Init+AOS | run 1 | best=1.086549e+05 | time=6.936s
[2026-03-20 22:36:50] DONE: F1 | AE+Init+AOS | run 2 | best=9.530626e+04 | time=6.820s
[2026-03-20 22:36:57] DONE: F1 | AE+Init+AOS | run 3 | best=1.082198e+05 | time=6.815s
[2026-03-20 22:37:04] DONE: F1 | AE+Init+AOS | run 4 | best=8.399229e+04 | time=6.823s
[2026-03-20 22:37:11] DONE: F1 | AE+Init+AOS | run 5 | best=1.106966e+05 | time=6.850s
[2026-03-20 22:37:18] DONE: F1 | AE+Init+AOS | run 6 | best=1.208169e+05 | time=6.890s
[2026-03-20 22:37:25] DONE: F1 | AE+Init+AOS | run 7 | best=1.166507e+05 | time=6.844s
[2026-03-20 22:37:32] DONE: F1 | AE+Init+AOS | run 8 | best=1.208229e+05 | time=6.816s
[2026-03-20 22:37:39] DONE: F1 | AE+Init+AOS | run 9 | best=1.258622e+05 | time=6.826s
[2026-03-20 22:37:46] DONE: F1 | AE+Init+AOS | run 10 | best=1.081063e+05 | time=6.824s
[2026-03-20 22:37:53] DONE: F1 | AE+Init+AOS | run 11 | best=1.148080e+05 | time=6.834s
[2026-03-20 22:38:00] DONE: F1 | AE+Init+AOS | run 12 | best=1.189426e+05 | time=6.815s
[2026-03-20 22:38:07] DONE: F1 | AE+Init+AOS | run 13 | best=1.067754e+05 | time=6.836s
[2026-03-20 22:38:14] DONE: F1 | AE+Init+AOS | run 14 | best=1.256262e+05 | time=6.878s
[2026-03-20 22:38:21] DONE: F1 | AE+Init+AOS | run 15 | best=1.045611e+05 | time=6.852s
[2026-03-20 22:38:28] DONE: F1 | AE+Init+AOS | run 16 | best=1.161304e+05 | time=6.833s
[2026-03-20 22:38:35] DONE: F1 | AE+Init+AOS | run 17 | best=1.175833e+05 | time=6.812s
[2026-03-20 22:38:42] DONE: F1 | AE+Init+AOS | run 18 | best=1.010304e+05 | time=6.942s
[2026-03-20 22:38:49] DONE: F1 | AE+Init+AOS | run 19 | best=1.075635e+05 | time=6.834s
[2026-03-20 22:38:56] DONE: F1 | AE+Init+AOS | run 20 | best=9.170308e+04 | time=6.866s
[2026-03-20 22:39:03] DONE: F1 | AE+Init+AOS | run 21 | best=9.891404e+04 | time=6.851s
[2026-03-20 22:39:10] DONE: F1 | AE+Init+AOS | run 22 | best=1.235805e+05 | time=6.831s
[2026-03-20 22:39:17] DONE: F1 | AE+Init+AOS | run 23 | best=1.105184e+05 | time=6.861s
[2026-03-20 22:39:23] DONE: F1 | AE+Init+AOS | run 24 | best=1.183894e+05 | time=6.801s
[2026-03-20 22:39:30] DONE: F1 | AE+Init+AOS | run 25 | best=1.047835e+05 | time=6.805s
[2026-03-20 22:39:37] DONE: F1 | AE+Init+AOS | run 26 | best=1.083098e+05 | time=6.851s
[2026-03-20 22:39:44] DONE: F1 | AE+Init+AOS | run 27 | best=1.180962e+05 | time=6.839s
[2026-03-20 22:39:51] DONE: F1 | AE+Init+AOS | run 28 | best=1.215761e+05 | time=6.810s
[2026-03-20 22:39:58] DONE: F1 | AE+Init+AOS | run 29 | best=1.145841e+05 | time=6.842s
[2026-03-20 22:40:05] DONE: F1 | AE+Init+AOS | run 30 | best=1.132273e+05 | time=6.825s
