Scene,Statistic,AE,PSO,GWO,HHO,WOA,FAEAE
Scene 1,Mean ± Std,291.3828 ± 3.4281,285.4583 ± 10.4708,332.5641 ± 21.0008,310.9784 ± 67.6982,334.5945 ± 122.5534,302.3221 ± 0.9123
Scene 1,Rank,2.0000,1.0000,5.0000,4.0000,6.0000,3.0000
Scene 2,Mean ± Std,1299.2323 ± 1204.0216,664.4080 ± 473.5398,332.5819 ± 21.9407,394.0178 ± 229.3555,779.6635 ± 651.7707,321.0269 ± 6.7946
Scene 2,Rank,6.0000,4.0000,2.0000,3.0000,5.0000,1.0000
Scene 4,Mean ± Std,2153.8246 ± 630.0714,1129.4685 ± 445.5469,526.5065 ± 250.0036,925.7374 ± 409.7295,1486.2090 ± 453.8427,330.4251 ± 2.3383
Scene 4,Rank,6.0000,4.0000,2.0000,3.0000,5.0000,1.0000
Average,Rank,4.6667,3.0000,3.0000,3.3333,5.3333,1.6667
