SceneId,AE_Mean,AE_Std,AE_Best,AE_Median,AE_FeasRatio,AE_AvgTime,AE_AvgV,AE_Rank,PSO_Mean,PSO_Std,PSO_Best,PSO_Median,PSO_FeasRatio,PSO_AvgTime,PSO_AvgV,PSO_Rank,GWO_Mean,GWO_Std,GWO_Best,GWO_Median,GWO_FeasRatio,GWO_AvgTime,GWO_AvgV,GWO_Rank,HHO_Mean,HHO_Std,HHO_Best,HHO_Median,HHO_FeasRatio,HHO_AvgTime,HHO_AvgV,HHO_Rank,WOA_Mean,WOA_Std,WOA_Best,WOA_Median,WOA_FeasRatio,WOA_AvgTime,WOA_AvgV,WOA_Rank,FAEAE_Mean,FAEAE_Std,FAEAE_Best,FAEAE_Median,FAEAE_FeasRatio,FAEAE_AvgTime,FAEAE_AvgV,FAEAE_Rank,BestAlgByMean
1,827.450635331632,424.655390856285,346.763228897492,716.144493476399,0.466666666666667,7.00752126,1.8,6,440.897375155032,271.853445747917,296.891005813872,338.918516248357,0.833333333333333,6.76655139666667,0.366666666666672,4,329.549462041455,16.7205399582321,309.080424795056,324.141390849562,1,7.22270536333333,0,2,380.051411631159,102.763204016502,304.183064549358,351.075869314134,0.933333333333333,8.45672729333334,0.133333333333333,3,656.330457092136,259.868102773622,315.162032183267,649.822739990795,0.666666666666667,6.65718473666667,0.866666666666667,5,302.145698291025,1.16163133694237,299.765033111978,302.097500745036,1,9.58756246,0,1,FAEAE
2,2089.3435223299,613.533867639172,759.282101443196,2180.87753732829,0,6.91494048666667,9.92025555038427,6,714.595870109887,459.011247710778,307.108819200832,563.990176875899,0.5,6.83760318666666,1.96666666666667,4,360.490221175367,43.4106428924323,302.444727705122,350.154385427246,1,7.02341371666667,0,2,501.481547743824,376.498229525591,316.776616723038,355.616290933269,0.866666666666667,8.58920520666667,0.60037173867333,3,982.665356837395,658.26270811571,371.581476604377,683.923158022721,0.633333333333333,6.69925101333333,2.58581253018066,5,319.292880853162,6.98614966846949,309.540360297085,319.088563481706,1,8.1687856,0,1,FAEAE
4,1632.26983000615,204.510633210409,894.080182411791,1628.89776808471,0,7.06801909666667,7.33333333333333,6,902.417804707703,453.325144193282,293.442278886527,825.853336443662,0.3,6.99627095333333,3.20000000000001,5,408.172401058725,81.7552561253236,340.138206419853,409.010697651404,0.966666666666667,7.13764318666667,0.0666666666666667,2,669.980703743459,313.268676955711,314.343073561944,747.885352550916,0.466666666666667,8.80277027,1.6,3,834.74060323119,294.639228858525,342.523682255551,882.664317716331,0.4,6.77512631666667,1.94137689024792,4,330.171619066999,2.38124976412662,325.550719270875,330.204759007097,1,11.99058709,0,1,FAEAE
