algorithm,sceneId,runFile,bestFit,feasible,meanZ,maxZ,minZ,stdZ,pathLen,detourRatio,turnPenalty,lowAltFrac,highAltFrac,costNorm,meanZNorm,maxZNorm,stdZNorm,detourNorm,turnNorm,lowFracNorm,highFracNorm,repScore,inCostGate,manualSelected,isSelected
GWO,1,scene1_GWO_run013.mat,324.042444739255,1,11.5141614887819,18,11.0071715358945,1.09289162977058,153.199886822721,1.2023168209836,0.0151502994601158,1,0,0.181512951959466,0.109010822068182,0,0.241087592241463,0.120757244335132,0.163551916316907,1,0,1.29647244630637,0,0,0
GWO,1,scene1_GWO_run014.mat,330.485814725993,1,12.4518473376678,18,11.1358362575709,1.21298451072458,157.767014662764,1.2381597627739,0.0240088432760814,1,0,0.254828779828341,0.229210182847919,0,0.317250294124285,0.495014476480915,0.432164313027262,1,0,1.74827540987375,0,0,0
GWO,1,scene1_GWO_run015.mat,330.31732950098,1,14.4734856058778,18,11.6241328108667,2.27682901441031,157.301227709353,1.23450425426996,0.024786714095451,1,0,0.252911672199739,0.488358412348681,0,0.99193867815041,0.456845162623502,0.45575123086192,1,0,2.0989834794667,0,0,0
GWO,1,scene1_GWO_run016.mat,343.348082274943,1,13.4471984913434,18,10.5935584015233,2.28954005723418,159.649533418538,1.252933820463,0.0226543130127013,1,0,0.4011819763021,0.356801499881586,0,1,0.649279100479615,0.391091691158248,1,0,2.14161409715912,0,0,0
GWO,1,scene1_GWO_run017.mat,352.73348237185,1,11.9669832074049,18,10.9499939154704,1.08468637475266,163.929443188353,1.28652266713425,0.0247012677156128,1,0,0.50797366751362,0.167056788305526,0,0.235883833393826,1,0.453160290707943,1,0,2.06871713286623,0,0,0
GWO,1,scene1_GWO_run018.mat,327.962022684567,1,12.1329557792368,18,11.6296980199457,0.972684634833117,161.2086134932,1.26516952270733,0.0179799910613734,1,0,0.226111834616927,0.188332354173211,0,0.164852519463426,0.777039262636825,0.249354984942595,1,0,1.75002071776983,0,0,0
GWO,1,scene1_GWO_run019.mat,395.975273340885,1,18.4648469020606,19.730211368736,12,1.32957598316924,163.226818304782,1.28100844820186,0.0427354447841311,1,0,1,1,1,0.391192408655481,0.942422797571757,1,1,0,3.66613064082834,0,0,0
GWO,1,scene1_GWO_run020.mat,309.479543241364,1,13.9161949434202,18,11.5727025896468,1.78942825671114,155.180834522516,1.2178633516655,0.0209872734414744,1,0,0.0158091072806365,0.416920860555069,0,0.682829942385108,0.283087713092899,0.340543033958943,1,0,1.7316372297095,1,0,0
GWO,1,scene1_GWO_run021.mat,320.424830768701,1,10.9680616102692,18,9.51003841048171,1.50443787444851,157.491435430998,1.23599700957128,0.00975653567772139,1,0,0.140349963692915,0.0390077859798058,0,0.502089524207823,0.472431898517249,0,1,0,1.42075575019846,1,0,0
GWO,1,scene1_GWO_run022.mat,319.963604292127,1,14.0772740450577,18.0116815981881,12,1.55633765893284,151.726264604847,1.19075179429154,0.0156322186001782,1,0,0.135101902346962,0.437569145985427,0.00675154400157987,0.535004279704257,0,0.178164866020835,1,0,1.54094798596312,1,0,0
GWO,1,scene1_GWO_run023.mat,342.837032773143,1,12.6346765084769,18,11.6054641696296,0.833664962118712,162.721646898066,1.277043849452,0.0229634146968061,1,0,0.395367004108422,0.252646549611114,0,0.0766864782736022,0.901026090700726,0.400464399124647,1,0,1.97255344295536,0,0,0
GWO,1,scene1_GWO_run024.mat,347.971810966114,1,14.1387092955388,18,11.9662584313956,1.30038450413266,161.99075612549,1.27130779906453,0.0240327773249126,1,0,0.45379303193479,0.445444361171781,0,0.372679222047578,0.841132615605327,0.432890051066501,1,0,2.19454924817418,0,0,0
GWO,1,scene1_GWO_run025.mat,329.952455552016,1,13.2996831682176,18,11.0958734589708,1.64504586913292,157.29640448415,1.2344664014692,0.0243747007339993,1,0,0.248759957228981,0.337891917780069,0,0.591262876503303,0.456449919271974,0.443257992831448,1,0,1.87908929308463,0,0,0
GWO,1,scene1_GWO_run026.mat,312.768908799031,1,10.9837438528759,18,9.7608764318711,1.39665076924325,159.808292057654,1.25417976252109,0.0107611670654231,1,0,0.0532371239116992,0.0410180493736281,0,0.433731124481323,0.662288714165926,0.0304628447369247,1,0,1.48693509840126,1,0,1
GWO,1,scene1_GWO_run027.mat,317.741684435453,1,14.3735335615334,18,12,0.769051370274743,161.144684188135,1.26466780380643,0.0124178191853626,1,0,0.109819807094689,0.475545835670579,0,0.0357086476636795,0.771800520564209,0.08069652938047,1,0,1.81628335956923,1,0,0
GWO,1,scene1_GWO_run028.mat,324.868278272837,1,13.6035972469251,18,11.1240918877136,1.96116522197989,156.770246232114,1.23033709739436,0.0207442151565007,1,0,0.190909691448436,0.376849824669676,0,0.791745235149502,0.413333427250174,0.333172921012229,1,0,1.86754010726149,0,0,0
GWO,1,scene1_GWO_run029.mat,315.396047889371,1,13.4601561264243,18.1034872429274,11.3924282392074,2.11619768517172,161.093292066109,1.26426447705431,0.0140341232978837,1,0,0.0831300025965091,0.358462503357098,0.0598119078381685,0.890066560963662,0.767589148774904,0.1297067652044,1,0,1.98156880601629,1,0,0
GWO,1,scene1_GWO_run030.mat,356.020669185816,1,13.4280981645796,18,12,1.36896421183182,160.334471074823,1.25830922956125,0.0239614568708476,1,0,0.545376893328929,0.354353081714213,0,0.416172356621499,0.705406907804416,0.430727443024045,1,0,2.09822343427465,0,0,0
HHO,1,scene1_HHO_run001.mat,288.47466559785,1,8.80771604797832,18,8,1.79831008658814,136.351156360106,1.07008753238848,0.00911927148203088,1,0,0.0606026454000147,0.00330671495418618,0,0.217216372471805,0.0778349094076505,0.131593948923793,1,0,1.12647196723732,1,0,0
HHO,1,scene1_HHO_run002.mat,280.761525955369,1,8.91584040090945,18,8,1.8854164933628,134.50046024735,1.05556321965534,0.00621192088295427,1,0,0,0.00784879393876814,0,0.242465120885747,0.000724477453417586,0.00868222863020609,1,0,1.02037422972697,1,0,1
HHO,1,scene1_HHO_run003.mat,288.841609944681,1,8.76738362360359,18,8.00000000013403,1.770426001269,135.730258597564,1.06521471009405,0.0080402739697841,1,0,0.0634857512639429,0.00161243376605817,0,0.209133864180572,0.051964808779569,0.0859780399017188,1,0,1.09185895266471,1,0,0
