algorithm,sceneId,runFile,bestFit,feasible,meanZ,maxZ,minZ,stdZ,pathLen,detourRatio,turnPenalty,lowAltFrac,highAltFrac,costNorm,meanZNorm,maxZNorm,stdZNorm,detourNorm,turnNorm,lowFracNorm,highFracNorm,repScore,inCostGate,manualSelected,isSelected
AE,2,scene2_AE_run001.mat,307.417014494673,1,14.8064269625539,18.2375160977342,11.8532009179054,2.27707631393166,147.043971880557,1.15400503540067,0.0156954905654561,1,0,0,0.303602103196764,0.309369568913523,1,0.0490858411059025,0.155845621074648,1,0,2.23127848019979,1,0,0
AE,2,scene2_AE_run002.mat,2606.15258311928,0,16.8791446816259,20.7267715512428,12,2.57149268586602,154.506578874985,1.21257177525847,0.0206246705492675,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run003.mat,3589.70403013851,0,25.7284418045957,29.9870075907303,12,3.55897085765406,163.935214418061,1.2865679598998,0.0465293549323034,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run004.mat,1691.47266813911,0,17.7554365430437,19.2984776871023,12,1.32308381672265,142.685397973825,1.11979883047294,0.0174341932807231,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run005.mat,2486.55771089807,0,12.6590663037577,18,8.78404651999258,2.65851709591971,161.160805070667,1.26479432092495,0.0275085050858179,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run006.mat,365.336156792974,1,16.7869915344616,18,12,0.947712285235445,154.553619183329,1.21294094886009,0.0251222763343238,1,0,0.999227333463822,1,0,0,0.833834269005552,0.873694998759738,1,0,3.73071265813519,0,0,0
AE,2,scene2_AE_run007.mat,1095.35663816238,0,11.8568188480854,18.9939738392136,8.96420619923067,2.80886215485471,157.35500898852,1.23492633119142,0.0151508627048581,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run008.mat,340.071525383759,1,15.746224696087,18.7568135855381,12,1.59250619482782,153.689909669509,1.20616253342882,0.0219752138827462,1,0,0.563359168428565,0.634049882752089,0.985765154191048,0.485039384001361,0.743577742193502,0.634046312792791,1,0,4.02513270303754,0,0,0
AE,2,scene2_AE_run009.mat,1240.32215008885,0,13.5340986243197,18,10.1940361537461,1.52036011684711,153.656336395092,1.20589904947068,0.0144949728093791,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run010.mat,1077.40098764432,0,12.3631166642446,18,10.2140859697442,1.90175710361933,153.459080468198,1.20435097966552,0.0128741750998284,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run011.mat,1084.19355638384,0,14.5203632369688,18,11.7822497796141,1.87645971138746,155.84888541653,1.22310623300049,0.0134888610109098,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run012.mat,313.322983062777,1,15.5444998546171,18,12,1.12963107251604,147.171203793917,1.1550035548694,0.0139100153627292,1,0,0.101890411177596,0.56312023101281,0,0.136846479484638,0.0623814114519409,0.0198817523101172,1,0,1.88560036527126,0,0,0
AE,2,scene2_AE_run013.mat,1888.47383302945,0,14.4067068974388,18,12,1.28900947548001,152.678779175789,1.19822715419309,0.0214287492310395,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run014.mat,348.914850173201,1,14.7060414089566,18,12,1.01457859292123,153.899691565907,1.20780890737861,0.0219555445607677,1,0,0.715925168159669,0.268304951371388,0,0.0502994712075739,0.765499678971922,0.632548494672387,1,0,2.7599197107259,0,0,0
AE,2,scene2_AE_run015.mat,2766.7619059799,0,17.3284233626217,19.1355914011301,12,1.32520450220697,158.66098930403,1.24517569973715,0.0295771379135763,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run016.mat,355.960416784214,1,15.6318792577129,18.7677422784935,12,1.90800062430547,156.143741557852,1.22542027190636,0.0267809114536689,1,0,0.837476048544012,0.593844214165378,1,0.722366724494446,1,1,1,0,4.61009697402057,0,0,0
AE,2,scene2_AE_run017.mat,309.220901144231,1,13.9429786777322,18,12,1.53818869780137,147.820974027326,1.16010296908963,0.0158146866028078,1,0,0.0311208483962909,0,0,0.444179622601225,0.130281560234656,0.164922394784513,1,0,1.5743158861918,1,0,0
AE,2,scene2_AE_run018.mat,314.919728277113,1,14.7317789922709,18,11.6757673878298,1.64939384242462,149.419481937682,1.17264810204603,0.0172779963477722,1,0,0.129437633036046,0.277354693623208,0,0.527832513925739,0.297323568875155,0.276353376196263,1,0,2.11311707927426,0,0,0
AE,2,scene2_AE_run019.mat,321.82317793621,1,15.1517244524982,18,12,1.41562802393798,149.280068355434,1.17155398051313,0.0162326941273848,1,0,0.248536696330766,0.425014173865578,0,0.351984654768675,0.282755029889818,0.196753651879196,1,0,2.1766399734915,0,0,0
AE,2,scene2_AE_run020.mat,1218.90895309342,0,15.2170542245633,18,12,0.973525841611904,152.183619952794,1.19434113132963,0.0145361741812713,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run021.mat,310.426009593607,1,16.7081481613143,18,12,1.43575016347469,146.769023256875,1.15184723122721,0.0136489285309184,1,0,0.0519115102504128,0.972277420279309,0,0.367121320950663,0.0203540656324839,0,1,0,2.28864369925496,1,0,0
AE,2,scene2_AE_run022.mat,345.350918580386,1,16.3884914070793,18.4892925009578,12,1.24308058312349,153.631845008762,1.20570684041383,0.021838005738703,1,0,0.654439833245795,0.859881038709307,0.637313477014658,0.222187671331631,0.737510060263674,0.623597917843579,1,0,3.87216097788968,0,0,0
AE,2,scene2_AE_run023.mat,3184.31417653086,0,20.1337367628318,23.3565824225767,12,2.35214418893552,139.338263170978,1.09353042676178,0.0432972260413603,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run024.mat,310.851975094121,1,14.9783394209212,18,12,1.36660934048313,146.574245097858,1.15031860701082,0.0154227749498274,1,0,0.0592603133289267,0.36404924849026,0,0.315110869713032,0,0.135078337319178,1,0,1.75116978565598,1,0,1
AE,2,scene2_AE_run025.mat,2613.51483056197,0,23.6374711623684,25.5178127362408,12,2.20625703923572,158.147499945058,1.24114582147489,0.0568537098485695,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run026.mat,4803.9384069128,0,24.5720012854808,33.562652199853,12,5.3413659844102,167.118719370356,1.31155219215487,0.0367035250573428,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run027.mat,1308.31305279478,0,19.671144924932,22.8912170400824,12,2.6193833674844,150.317231923466,1.17969366801433,0.0363269975751697,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run028.mat,365.380943581285,1,15.3889827911522,18,11.8907479933802,1.30786011599286,153.691530618453,1.2061752546796,0.0227097885077591,1,0,1,0.508437966445365,0,0.27091738830231,0.74374712926109,0.689984142542804,1,0,3.17670084876243,0,0,0
AE,2,scene2_AE_run029.mat,1698.20565646594,0,16.8537918443116,19.7740123860055,11.9852343516381,2.56369102549885,144.232266870991,1.13193869906874,0.0220463635383204,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
AE,2,scene2_AE_run030.mat,314.38010730493,1,16.2734372852026,18.5994588020134,12,1.34065565023778,147.395860729156,1.15676666852301,0.0150567806334572,1,0,0.120128033416307,0.819426185769902,0.780807334447901,0.295587481321969,0.0858577705454951,0.107207884050759,1,0,2.92387787063938,0,0,0
