Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,WallClock
1,AE+Init+AOS,23,20270652,302.139634783937,6.6407548,1,0,6.8589671
1,AE+Init+AOS,24,20270653,303.563373985363,6.5962283,1,0,6.8144969
1,AE+Init+AOS,25,20270654,302.000541378307,6.626558,1,0,6.8490965
1,AE+Init+AOS,26,20270655,303.192621700871,6.663978,1,0,6.8855255
1,AE+Init+AOS,27,20270656,303.894608817993,6.6047846,1,0,6.8284157
1,AE+Init+AOS,28,20270657,303.421197915851,6.6007181,1,0,6.8297222
1,AE+Init+AOS,29,20270658,303.928511564629,6.5862995,1,0,6.8061346
1,AE+Init+AOS,30,20270659,303.255472319742,6.7228538,1,0,6.9455132
1,AE+Init+AOS+Repair,1,20270730,303.934569887923,8.6659267,1,0,8.8854002
1,AE+Init+AOS+Repair,2,20270731,303.192778243761,8.321759,1,0,8.5484484
1,AE+Init+AOS+Repair,3,20270732,300.582348372811,8.4787533,1,0,8.6980006
1,AE+Init+AOS+Repair,4,20270733,303.950446173747,8.4844551,1,0,8.7085526
1,AE+Init+AOS+Repair,5,20270734,300.952870448253,8.2973629,1,0,8.5173393
1,AE+Init+AOS+Repair,6,20270735,303.109691816952,8.4977928,1,0,8.7204239
1,AE+Init+AOS+Repair,7,20270736,303.52943008188,8.3602665,1,0,8.5804768
1,AE+Init+AOS+Repair,8,20270737,304.226975737101,8.4504702,1,0,8.6698708
1,AE+Init+AOS+Repair,9,20270738,302.246425418068,8.4840369,1,0,8.7017494
1,AE+Init+AOS+Repair,10,20270739,304.647401616642,8.5164466,1,0,8.7374647
1,AE+Init+AOS+Repair,11,20270740,301.747684817572,8.5834067,1,0,8.8033213
1,AE+Init+AOS+Repair,12,20270741,303.125432673669,8.3318328,1,0,8.550249
1,AE+Init+AOS+Repair,13,20270742,303.977008830975,8.5192812,1,0,8.7412767
1,AE+Init+AOS+Repair,14,20270743,303.008151215701,8.2813604,1,0,8.4997483
1,AE+Init+AOS+Repair,15,20270744,303.999761695197,8.3998871,1,0,8.6192929
1,AE+Init+AOS+Repair,16,20270745,303.608775504511,8.3680751,1,0,8.588854
1,AE+Init+AOS+Repair,17,20270746,301.349365155055,8.4928074,1,0,8.7161813
1,AE+Init+AOS+Repair,18,20270747,302.105018154097,8.2605891,1,0,8.4844007
1,AE+Init+AOS+Repair,19,20270748,303.175920570034,8.2672697,1,0,8.4885474
1,AE+Init+AOS+Repair,20,20270749,302.634436134277,8.3732778,1,0,8.597213
1,AE+Init+AOS+Repair,21,20270750,302.492255203129,8.1025109,1,0,8.3215625
1,AE+Init+AOS+Repair,22,20270751,302.400374393474,8.4563605,1,0,8.6776447
1,AE+Init+AOS+Repair,23,20270752,303.453668555085,8.3738162,1,0,8.5962667
1,AE+Init+AOS+Repair,24,20270753,298.417725979443,8.151258,1,0,8.3780831
1,AE+Init+AOS+Repair,25,20270754,301.355761123476,8.5307501,1,0,8.7501864
1,AE+Init+AOS+Repair,26,20270755,303.702644512905,8.5396377,1,0,8.7592407
1,AE+Init+AOS+Repair,27,20270756,304.554401470202,8.2933532,1,0,8.5135281
1,AE+Init+AOS+Repair,28,20270757,300.480819185753,8.4446523,1,0,8.6653734
1,AE+Init+AOS+Repair,29,20270758,300.867724797103,8.2847659,1,0,8.5082163
1,AE+Init+AOS+Repair,30,20270759,303.31923945466,8.4184791,1,0,8.6378621
1,FAEAE,1,20270830,301.677640941164,8.5768827,1,0,8.7979764
1,FAEAE,2,20270831,303.321212946983,8.2621754,1,0,8.4855821
1,FAEAE,3,20270832,303.861387596477,8.2325003,1,0,8.4517955
1,FAEAE,4,20270833,302.499928103959,8.4408704,1,0,8.6650346
1,FAEAE,5,20270834,301.894634645242,8.3679342,1,0,8.5869202
1,FAEAE,6,20270835,304.265368451185,8.5796424,1,0,8.8049434
1,FAEAE,7,20270836,302.244441396093,8.5068374,1,0,8.7320546
1,FAEAE,8,20270837,302.171508426215,8.5368891,1,0,8.7567433
1,FAEAE,9,20270838,300.905107572413,7.8716502,1,0,8.0947818
1,FAEAE,10,20270839,303.816734513533,8.4709527,1,0,8.6933124
1,FAEAE,11,20270840,302.186330340891,8.6132959,1,0,8.8367594
1,FAEAE,12,20270841,301.552504008969,8.463995,1,0,8.6857375
1,FAEAE,13,20270842,303.949601058207,8.5398109,1,0,8.7640304
1,FAEAE,14,20270843,303.45318760174,8.1682204,1,0,8.3871277
1,FAEAE,15,20270844,302.321343123767,8.4422396,1,0,8.6638848
1,FAEAE,16,20270845,303.34958010831,8.5386873,1,0,8.7668369
1,FAEAE,17,20270846,302.194791258085,8.3428484,1,0,8.5599748
1,FAEAE,18,20270847,301.872298006057,8.5173121,1,0,8.7378667
1,FAEAE,19,20270848,302.007217821938,8.6317728,1,0,8.8501123
1,FAEAE,20,20270849,302.948425895247,8.5535985,1,0,8.7737433
1,FAEAE,21,20270850,301.008799205874,8.4843334,1,0,8.7082614
1,FAEAE,22,20270851,302.289010573677,8.3437233,1,0,8.5739741
1,FAEAE,23,20270852,302.867127589189,8.1725617,1,0,8.3940076
1,FAEAE,24,20270853,301.696958881968,8.3874159,1,0,8.607956
1,FAEAE,25,20270854,302.373531961176,8.4434768,1,0,8.6787641
1,FAEAE,26,20270855,302.345877003676,8.2128684,1,0,8.4324897
1,FAEAE,27,20270856,302.667899371989,8.5628069,1,0,8.7846353
1,FAEAE,28,20270857,301.398202406291,8.6261728,1,0,8.8446581
1,FAEAE,29,20270858,302.758616595112,8.47745,1,0,8.6983925
1,FAEAE,30,20270859,301.098288552963,8.5214622,1,0,8.7443857
2,Base-AE,1,20280430,2455.54810690073,6.7185353,0,12,6.7433684
